crawl_district,title,price,price_unit,price_per_sqm,room_type,area,orientation,floor,year,community,district,business_area,location,tags,url,crawl_time
密云,商品房 商圈成熟 南北通透 满五 大两居 高楼层视野好,95,万,10407元/㎡,2室2厅1卫,91.29,南北,高层(共6层),2004,兴云甲区,密云,密云城区,密云 密云城区 兴云路,南北 满五年 户型方正,https://bj.58.com/ershoufang/4335100968459278x.shtml?auction=220&hpType=60&entry=102&position=0&kwtype=filter&now_time=1764309519&typecode=220&region_ids=6811&spread=filtersearch_c&epauction=&stats_key=b8caeb66-08a2-4e6a-ab6b-a9f700b765d0_0&from=from_esf_List_screen&index=0,2025-11-28 13:58:55
密云,桃源公馆 高楼层 采光好 视野无遮挡 刚需三居 满五,145,万,14697元/㎡,3室1厅1卫,98.66,南北,高层(共24层),2013,桃源公馆,密云,密云城区,密云 密云城区 园林东路3号,经纪人力荐 南北 满五年 户型方正,https://bj.58.com/ershoufang/4223298747408396x.shtml?auction=220&hpType=60&entry=102&position=1&kwtype=filter&now_time=1764309519&typecode=220&region_ids=6811&spread=filtersearch_c&epauction=&stats_key=b8caeb66-08a2-4e6a-ab6b-a9f700b765d0_1&from=from_esf_List_screen&index=1,2025-11-28 13:58:55
密云,南北通透 交通便捷 中间楼层 商业配套成熟 大两房 近医院,135,万,14929元/㎡,2室2厅1卫,90.43,南北,共5层,2004,行宫南区,密云,密云城区,密云 密云城区 檀西路,南北 满五年,https://bj.58.com/ershoufang/3365267282189312x.shtml?auction=220&hpType=60&entry=102&position=2&kwtype=filter&now_time=1764309519&typecode=220&region_ids=6811&spread=filtersearch_c&epauction=&stats_key=b8caeb66-08a2-4e6a-ab6b-a9f700b765d0_2&from=from_esf_List_screen&index=2,2025-11-28 13:58:55
密云,清晰 装修好 有电梯 南北通透 满五 双卫,245,万,17788元/㎡,3室2厅2卫,137.74,南北,低层(共20层),2015,溪水雅地,密云,密云城区,密云 密云城区 顺密路,经纪人力荐 南北 满五年 采光较好,https://bj.58.com/ershoufang/4216058202057735x.shtml?auction=220&hpType=60&entry=102&position=3&kwtype=filter&now_time=1764309519&typecode=220&region_ids=6811&spread=filtersearch_c&epauction=&stats_key=b8caeb66-08a2-4e6a-ab6b-a9f700b765d0_3&from=from_esf_List_screen&index=3,2025-11-28 13:58:55
密云,久润花园东区 医疗配套成熟 购物方便 南北通透,238,万,11797元/㎡,5室2厅3卫,201.76,南北,高层(共6层),2006,久润花园东区,密云,密云城区,密云 密云城区 车站路2号,南北 满五年,https://bj.58.com/ershoufang/3754654525516812x.shtml?auction=220&hpType=60&entry=102&position=4&kwtype=filter&now_time=1764309519&typecode=220&region_ids=6811&spread=filtersearch_c&epauction=&stats_key=b8caeb66-08a2-4e6a-ab6b-a9f700b765d0_4&from=from_esf_List_screen&index=4,2025-11-28 13:58:55
密云,密云宾阳北里 高观景不是顶层停车位多挨着法制公园沙河早市,129,万,14801元/㎡,3室2厅1卫,87.16,南北,高层(共6层),2004,宾阳北里,密云,密云城区,密云 密云城区 新东路,南北 满五年,https://bj.58.com/ershoufang/3675612829066250x.shtml?auction=220&hpType=60&entry=102&position=5&kwtype=filter&now_time=1764309519&typecode=220&region_ids=6811&spread=filtersearch_c&epauction=&stats_key=b8caeb66-08a2-4e6a-ab6b-a9f700b765d0_5&from=from_esf_List_screen&index=5,2025-11-28 13:58:55
密云,密云城区 医疗配套成熟 商业配套成熟 精装可拎包入住 双卫,275,万,20743元/㎡,3室2厅2卫,132.58,南北,低层(共21层),2012,绿地国际花都(北区),密云,密云城区,密云 密云城区 新西路40号,经纪人力荐 南北 满五年 采光较好,https://bj.58.com/ershoufang/4337417921600514x.shtml?auction=220&hpType=60&entry=102&position=6&kwtype=filter&now_time=1764309519&typecode=220&region_ids=6811&spread=filtersearch_c&epauction=&stats_key=b8caeb66-08a2-4e6a-ab6b-a9f700b765d0_6&from=from_esf_List_screen&index=6,2025-11-28 13:58:55
密云,兴云甲区 刚需两居 满五   购物方便 南北通透 正规商品房,95,万,10407元/㎡,2室2厅1卫,91.29,南北,高层(共6层),1999,兴云甲区,密云,密云城区,密云 密云城区 兴云路,热门小区 南北通透 配套成熟,https://bj.58.com/ershoufang/4333601254435855x.shtml?auction=220&hpType=60&entry=102&position=7&kwtype=filter&now_time=1764309519&typecode=220&region_ids=6811&spread=filtersearch_c&epauction=&stats_key=b8caeb66-08a2-4e6a-ab6b-a9f700b765d0_7&from=from_esf_List_screen&index=7,2025-11-28 13:58:55
密云,蓝河湾 医疗配套成熟 南北通透 低密度社区 精装好房 满五,410,万,29512元/㎡,3室2厅2卫,138.93,南北,低层(共8层),2008,蓝河湾,密云,密云周边,密云 密云周边 水源路,经纪人力荐 南北 满五年 采光较好,https://bj.58.com/ershoufang/4269927747263502x.shtml?auction=220&hpType=60&entry=102&position=8&kwtype=filter&now_time=1764309519&typecode=220&region_ids=6811&spread=filtersearch_c&epauction=&stats_key=b8caeb66-08a2-4e6a-ab6b-a9f700b765d0_8&from=from_esf_List_screen&index=8,2025-11-28 13:58:55
密云,甄选好房 沿湖南区新楼 新调三十二个 三层 标准三室双卫,248,万,22006元/㎡,3室2厅2卫,112.7,南北,中层(共6层),2005,沿湖南区,密云,密云城区,密云 密云城区 新中街19号,经纪人力荐 南北 满五年 绿化率高,https://bj.58.com/ershoufang/4176591950684167x.shtml?auction=220&hpType=60&entry=102&position=9&kwtype=filter&now_time=1764309519&typecode=220&region_ids=6811&spread=filtersearch_c&epauction=&stats_key=b8caeb66-08a2-4e6a-ab6b-a9f700b765d0_9&from=from_esf_List_screen&index=9,2025-11-28 13:58:55
