crawl_district,title,price,price_unit,price_per_sqm,room_type,area,orientation,floor,year,community,district,business_area,location,tags,url,crawl_time
朝阳,双井首城国际D区3室1厅,620,万,69066元/㎡,3室1厅1卫,89.77,南北,高层(共28层),2010,首城国际,朝阳,双井,朝阳 双井 广渠路36号,南北 满二年 近地铁 采光较好,https://bj.58.com/ershoufang/4322320652004362x.shtml?auction=220&hpType=60&entry=102&position=0&kwtype=filter&now_time=1764308078&typecode=220&region_ids=1142&spread=filtersearch_c&epauction=&stats_key=8d96fb31-c595-4d3b-8c99-886380e107ba_0&from=from_esf_List_screen&index=0,2025-11-28 13:34:39
朝阳,单价5万！业主急售！装修保养好 双卫 东三环双井,510,万,53125元/㎡,2室2厅2卫,96,北,低层(共31层),2005,苹果社区(南区),朝阳,双井,朝阳 双井 百子湾路32号,北 近地铁 多人关注,https://bj.58.com/ershoufang/4211567382011907x.shtml?auction=220&hpType=60&entry=102&position=1&kwtype=filter&now_time=1764308078&typecode=220&region_ids=1142&spread=filtersearch_c&epauction=&stats_key=8d96fb31-c595-4d3b-8c99-886380e107ba_1&from=from_esf_List_screen&index=1,2025-11-28 13:34:39
朝阳,近商场，地铁，小区环境好绿化高楼栋间距广,570,万,60529元/㎡,2室1厅1卫,94.17,东北,低层(共26层),2005,苹果社区(南区),朝阳,双井,朝阳 双井 百子湾路32号,东北 热门小区,https://bj.58.com/ershoufang/4273857425170444x.shtml?auction=220&hpType=60&entry=102&position=2&kwtype=filter&now_time=1764308078&typecode=220&region_ids=1142&spread=filtersearch_c&epauction=&stats_key=8d96fb31-c595-4d3b-8c99-886380e107ba_2&from=from_esf_List_screen&index=2,2025-11-28 13:34:39
朝阳,单价5 买三环边全南两居 高层采光视野无遮挡 得房率82%,599,万,62396元/㎡,2室1厅1卫,96,南,低层(共26层),2005,苹果社区(南区),朝阳,双井,朝阳 双井 百子湾路32号,南 近地铁 户型方正 多人关注,https://bj.58.com/ershoufang/4227186041921551x.shtml?auction=220&hpType=60&entry=102&position=3&kwtype=filter&now_time=1764308078&typecode=220&region_ids=1142&spread=filtersearch_c&epauction=&stats_key=8d96fb31-c595-4d3b-8c99-886380e107ba_3&from=from_esf_List_screen&index=3,2025-11-28 13:34:39
朝阳,小洋房 户数少   产品,620,万,67923元/㎡,2室1厅1卫,91.28,东南,高层(共7层),2012,首城国际,朝阳,双井,朝阳 双井 广渠路36号,东南 近地铁,https://bj.58.com/ershoufang/4330413846568967x.shtml?auction=220&hpType=60&entry=102&position=4&kwtype=filter&now_time=1764308078&typecode=220&region_ids=1142&spread=filtersearch_c&epauction=&stats_key=8d96fb31-c595-4d3b-8c99-886380e107ba_4&from=from_esf_List_screen&index=5,2025-11-28 13:34:39
朝阳,南北通透 次新社区 边户明厨卫 安静不临街 满五一套,699,万,77238元/㎡,3室1厅1卫,90.5,南北,低层(共28层),2009,首城国际,朝阳,双井,朝阳 双井 广渠路36号,南北 近地铁 采光较好,https://bj.58.com/ershoufang/4109564342099968x.shtml?auction=220&hpType=60&entry=102&position=5&kwtype=filter&now_time=1764308078&typecode=220&region_ids=1142&spread=filtersearch_c&epauction=&stats_key=8d96fb31-c595-4d3b-8c99-886380e107ba_5&from=from_esf_List_screen&index=6,2025-11-28 13:34:39
朝阳,双井百环家园2室1厅 满五年   诚意出售,419,万,43747元/㎡,2室1厅1卫,95.78,西南,高层(共28层),2005,百环家园,朝阳,双井,朝阳 双井 广渠路66号,西南 满五年 近地铁 采光较好,https://bj.58.com/ershoufang/4249972836506630x.shtml?auction=220&hpType=60&entry=102&position=6&kwtype=filter&now_time=1764308078&typecode=220&region_ids=1142&spread=filtersearch_c&epauction=&stats_key=8d96fb31-c595-4d3b-8c99-886380e107ba_6&from=from_esf_List_screen&index=7,2025-11-28 13:34:39
朝阳,东坝和悦园 次新社区人车分流 保利物业,302,万,38868元/㎡,2室1厅1卫,77.7,南,高层(共16层),2019,和悦园,朝阳,东坝,朝阳 东坝 东坝中街,南 热门小区 新上小区 南北通透,https://bj.58.com/ershoufang/4131314014134287x.shtml?auction=220&hpType=60&entry=102&position=7&kwtype=filter&now_time=1764308078&typecode=220&region_ids=1142&spread=filtersearch_c&epauction=&stats_key=8d96fb31-c595-4d3b-8c99-886380e107ba_7&from=from_esf_List_screen&index=8,2025-11-28 13:34:39
朝阳,三环13年次新板楼 首城聚焦必看两居 双卧采光无遮挡,650,万,78598元/㎡,2室2厅1卫,82.7,东南,低层(共20层),2012,首城国际,朝阳,双井,朝阳 双井 广渠路36号,东南 满五年 近地铁,https://bj.58.com/ershoufang/4278635881896967x.shtml?auction=220&hpType=60&entry=102&position=8&kwtype=filter&now_time=1764308078&typecode=220&region_ids=1142&spread=filtersearch_c&epauction=&stats_key=8d96fb31-c595-4d3b-8c99-886380e107ba_8&from=from_esf_List_screen&index=9,2025-11-28 13:34:39
朝阳,东三环 双井地铁口05年小区 商品房满五  精装大两居不临街,428,万,41325元/㎡,2室1厅1卫,103.57,西,中层(共28层),2005,百环家园,朝阳,双井,朝阳 双井 广渠路66号,经纪人力荐 西 热门小区 近地铁,https://bj.58.com/ershoufang/4300980829821964x.shtml?auction=220&hpType=60&entry=102&position=9&kwtype=filter&now_time=1764308078&typecode=220&region_ids=1142&spread=filtersearch_c&epauction=&stats_key=8d96fb31-c595-4d3b-8c99-886380e107ba_9&from=from_esf_List_screen&index=10,2025-11-28 13:34:39
朝阳,3XX望京新城东南向两居不临街看小区里中高层采光好，满五,358,万,39898元/㎡,2室1厅1卫,89.73,东南,中层(共30层),1997,望京西园四区,朝阳,望京,朝阳 望京 阜通西大街,经纪人力荐 东南 满五年 近地铁,https://bj.58.com/ershoufang/3957156673789962x.shtml?auction=220&hpType=60&entry=102&position=10&kwtype=filter&now_time=1764308078&typecode=220&region_ids=1142&spread=filtersearch_c&epauction=&stats_key=8d96fb31-c595-4d3b-8c99-886380e107ba_10&from=from_esf_List_screen&index=12,2025-11-28 13:34:39
朝阳,双井百环家园满五   西区靠近朝阳区图书馆,439,万,45830元/㎡,2室1厅1卫,95.79,西南,中层(共27层),2005,百环家园,朝阳,双井,朝阳 双井 广渠路66号,西南 满二年 近地铁 采光较好,https://bj.58.com/ershoufang/4329131129330695x.shtml?auction=220&hpType=60&entry=102&position=11&kwtype=filter&now_time=1764308078&typecode=220&region_ids=1142&spread=filtersearch_c&epauction=&stats_key=8d96fb31-c595-4d3b-8c99-886380e107ba_11&from=from_esf_List_screen&index=13,2025-11-28 13:34:39
朝阳,地铁旁2居室！装修保养很好！双卧室分离！厨房带凹槽！,486,万,56101元/㎡,2室1厅1卫,86.63,西,高层(共28层),2008,后现代城(C区),朝阳,百子湾,朝阳 百子湾 百子湾南一路16号,西 近地铁 户型方正,https://bj.58.com/ershoufang/4093115308940288x.shtml?auction=220&hpType=60&entry=102&position=12&kwtype=filter&now_time=1764308078&typecode=220&region_ids=1142&spread=filtersearch_c&epauction=&stats_key=8d96fb31-c595-4d3b-8c99-886380e107ba_12&from=from_esf_List_screen&index=14,2025-11-28 13:34:39
朝阳,亚运村新荣家园2室1厅,650,万,58229元/㎡,2室1厅1卫,111.63,西南,高层(共27层),2000,新荣家园,朝阳,亚运村,朝阳 亚运村 大屯北路,西南 热门小区 房东急售 随时可看,https://bj.58.com/ershoufang/4303486344797184x.shtml?auction=220&hpType=60&entry=102&position=13&kwtype=filter&now_time=1764308078&typecode=220&region_ids=1142&spread=filtersearch_c&epauction=&stats_key=8d96fb31-c595-4d3b-8c99-886380e107ba_13&from=from_esf_List_screen&index=15,2025-11-28 13:34:39
朝阳,甜水园精装电梯房两居 秀水园高层观景房 农业部家属楼楼道干净,315,万,50008元/㎡,2室1厅1卫,62.99,西南,高层(共18层),1992,秀水园小区,朝阳,团结湖,朝阳 团结湖 甜水园街,西南 满五年 近地铁 户型方正,https://bj.58.com/ershoufang/3097163972239372x.shtml?auction=220&hpType=60&entry=102&position=14&kwtype=filter&now_time=1764308078&typecode=220&region_ids=1142&spread=filtersearch_c&epauction=&stats_key=8d96fb31-c595-4d3b-8c99-886380e107ba_14&from=from_esf_List_screen&index=16,2025-11-28 13:34:39
朝阳,满五年  |次顶层|采光好|无遮挡|户型方正|无浪费面积,435,万,42013元/㎡,2室1厅1卫,103.54,西,高层(共28层),2005,百环家园,朝阳,双井,朝阳 双井 广渠路66号,西 满五年 近地铁 采光较好,https://bj.58.com/ershoufang/4058952416631823x.shtml?auction=220&hpType=60&entry=102&position=15&kwtype=filter&now_time=1764308078&typecode=220&region_ids=1142&spread=filtersearch_c&epauction=&stats_key=8d96fb31-c595-4d3b-8c99-886380e107ba_15&from=from_esf_List_screen&index=17,2025-11-28 13:34:39
朝阳,白家庄东里，东三环边，楼龄新，近地铁，明厨明卫，电梯直达,330,万,51757元/㎡,2室1厅1卫,63.76,东南,低层(共15层),1991,白家庄东里,朝阳,团结湖,朝阳 团结湖 姚家园路,东南 满二年 近地铁 户型方正,https://bj.58.com/ershoufang/3048560062013454x.shtml?auction=220&hpType=60&entry=102&position=16&kwtype=filter&now_time=1764308078&typecode=220&region_ids=1142&spread=filtersearch_c&epauction=&stats_key=8d96fb31-c595-4d3b-8c99-886380e107ba_16&from=from_esf_List_screen&index=18,2025-11-28 13:34:39
朝阳,底价清晰 高层景观 270度圆弧窗 景观很好,635,万,66681元/㎡,2室2厅1卫,95.23,西南,高层(共26层),2009,天鹅湾(北区),朝阳,朝青板块,朝阳 朝青板块 甘露园中街,西南 配套成熟 价格优惠 房东急售,https://bj.58.com/ershoufang/3048221458045962x.shtml?auction=220&hpType=60&entry=102&position=17&kwtype=filter&now_time=1764308078&typecode=220&region_ids=1142&spread=filtersearch_c&epauction=&stats_key=8d96fb31-c595-4d3b-8c99-886380e107ba_17&from=from_esf_List_screen&index=19,2025-11-28 13:34:39
朝阳,1室2厅1卫1厨1阳,638,万,79661元/㎡,1室2厅1卫,80.09,南北,中层(共25层),2019,富力城(D区),朝阳,双井,朝阳 双井 东三环中路35号,南北 近地铁,https://bj.58.com/ershoufang/3048213009080322x.shtml?auction=220&hpType=60&entry=102&position=18&kwtype=filter&now_time=1764308078&typecode=220&region_ids=1142&spread=filtersearch_c&epauction=&stats_key=8d96fb31-c595-4d3b-8c99-886380e107ba_18&from=from_esf_List_screen&index=20,2025-11-28 13:34:39
