city,year,month,date,price
昆明,2017,1,2017-01,8763
昆明,2017,2,2017-02,8856
昆明,2017,3,2017-03,9056
昆明,2017,4,2017-04,9131
昆明,2017,5,2017-05,9381
昆明,2017,6,2017-06,9941
昆明,2017,7,2017-07,10604
昆明,2017,8,2017-08,10633
昆明,2017,9,2017-09,10706
昆明,2017,10,2017-10,11045
昆明,2017,11,2017-11,11101
昆明,2017,12,2017-12,11140
昆明,2018,1,2018-01,10908
昆明,2018,2,2018-02,11101
昆明,2018,3,2018-03,11326
昆明,2018,4,2018-04,11597
昆明,2018,5,2018-05,11884
昆明,2018,6,2018-06,12327
昆明,2018,7,2018-07,13221
昆明,2018,8,2018-08,13132
昆明,2018,9,2018-09,13047
昆明,2018,10,2018-10,12759
昆明,2018,11,2018-11,12746
昆明,2018,12,2018-12,12707
昆明,2019,1,2019-01,12548
昆明,2019,2,2019-02,12597
昆明,2019,3,2019-03,12592
昆明,2019,4,2019-04,12772
昆明,2019,5,2019-05,12756
昆明,2019,6,2019-06,12860
昆明,2019,7,2019-07,12855
昆明,2019,8,2019-08,12854
昆明,2019,9,2019-09,13049
昆明,2019,10,2019-10,13246
昆明,2019,11,2019-11,13268
昆明,2019,12,2019-12,13201
昆明,2020,1,2020-01,13218
昆明,2020,2,2020-02,13332
昆明,2020,3,2020-03,13264
昆明,2020,4,2020-04,13265
昆明,2020,5,2020-05,13493
昆明,2020,6,2020-06,13635
昆明,2020,7,2020-07,13360
昆明,2020,8,2020-08,13895
昆明,2020,9,2020-09,13949
昆明,2020,10,2020-10,14027
昆明,2020,11,2020-11,14082
昆明,2020,12,2020-12,14081
昆明,2021,1,2021-01,14244
昆明,2021,2,2021-02,14186
昆明,2021,3,2021-03,14319
昆明,2021,4,2021-04,14319
昆明,2021,5,2021-05,14066
昆明,2021,6,2021-06,13992
昆明,2021,7,2021-07,14065
昆明,2021,8,2021-08,13870
昆明,2021,9,2021-09,13984
昆明,2021,10,2021-10,13815
昆明,2021,11,2021-11,13936
昆明,2021,12,2021-12,13712
昆明,2022,1,2022-01,13624
昆明,2022,2,2022-02,13435
昆明,2022,3,2022-03,13430
昆明,2022,4,2022-04,13464
昆明,2022,5,2022-05,13306
昆明,2022,6,2022-06,13225
昆明,2022,7,2022-07,13135
昆明,2022,8,2022-08,13060
昆明,2022,9,2022-09,12893
昆明,2022,10,2022-10,12741
昆明,2022,11,2022-11,12602
昆明,2022,12,2022-12,12659
昆明,2023,1,2023-01,12588
昆明,2023,2,2023-02,12570
昆明,2023,3,2023-03,12404
昆明,2023,4,2023-04,12403
昆明,2023,5,2023-05,12306
昆明,2023,6,2023-06,12478
昆明,2023,7,2023-07,12507
昆明,2023,8,2023-08,12538
昆明,2023,9,2023-09,12558
昆明,2023,10,2023-10,12672
昆明,2023,11,2023-11,12736
昆明,2023,12,2023-12,12812
昆明,2024,1,2024-01,12758
昆明,2024,2,2024-02,12687
昆明,2024,3,2024-03,12579
昆明,2024,4,2024-04,12552
昆明,2024,5,2024-05,12424
昆明,2024,6,2024-06,12411
昆明,2024,7,2024-07,12473
昆明,2024,8,2024-08,12515
昆明,2024,9,2024-09,12467
昆明,2024,10,2024-10,12467
昆明,2024,11,2024-11,12418
昆明,2024,12,2024-12,12384
昆明,2025,1,2025-01,12384
昆明,2025,2,2025-02,12376
昆明,2025,3,2025-03,12410
昆明,2025,4,2025-04,12461
昆明,2025,5,2025-05,12406
昆明,2025,6,2025-06,12335
昆明,2025,7,2025-07,12270
昆明,2025,8,2025-08,12270
昆明,2025,9,2025-09,12270
昆明,2025,10,2025-10,12240
昆明,2025,11,2025-11,12245
昆明,2025,12,2025-12,12145
福州,2017,1,2017-01,17217
福州,2017,2,2017-02,17010
福州,2017,3,2017-03,17367
福州,2017,4,2017-04,17930
福州,2017,5,2017-05,18231
福州,2017,6,2017-06,19463
福州,2017,7,2017-07,21570
福州,2017,8,2017-08,22200
福州,2017,9,2017-09,21768
福州,2017,10,2017-10,20575
福州,2017,11,2017-11,19798
福州,2017,12,2017-12,19991
福州,2018,1,2018-01,19380
福州,2018,2,2018-02,18983
福州,2018,3,2018-03,18891
福州,2018,4,2018-04,18777
福州,2018,5,2018-05,20032
福州,2018,6,2018-06,19808
福州,2018,7,2018-07,19841
福州,2018,8,2018-08,19993
福州,2018,9,2018-09,19909
福州,2018,10,2018-10,20072
福州,2018,11,2018-11,18336
福州,2018,12,2018-12,18436
福州,2019,1,2019-01,18039
福州,2019,2,2019-02,17284
福州,2019,3,2019-03,17106
福州,2019,4,2019-04,16409
福州,2019,5,2019-05,16296
福州,2019,6,2019-06,16671
福州,2019,7,2019-07,16507
福州,2019,8,2019-08,17052
福州,2019,9,2019-09,16500
福州,2019,10,2019-10,18193
福州,2019,11,2019-11,18574
福州,2019,12,2019-12,18155
福州,2020,1,2020-01,18244
福州,2020,2,2020-02,17548
福州,2020,3,2020-03,17958
福州,2020,4,2020-04,18187
福州,2020,5,2020-05,18437
福州,2020,6,2020-06,18369
福州,2020,7,2020-07,18197
福州,2020,8,2020-08,18184
福州,2020,9,2020-09,18307
福州,2020,10,2020-10,18029
福州,2020,11,2020-11,18438
福州,2020,12,2020-12,18498
福州,2021,1,2021-01,18519
福州,2021,2,2021-02,18229
福州,2021,3,2021-03,16214
福州,2021,4,2021-04,16386
福州,2021,5,2021-05,17046
福州,2021,6,2021-06,17087
福州,2021,7,2021-07,17971
福州,2021,8,2021-08,17947
福州,2021,9,2021-09,17945
福州,2021,10,2021-10,18393
福州,2021,11,2021-11,18482
福州,2021,12,2021-12,19288
福州,2022,1,2022-01,19530
福州,2022,2,2022-02,19505
福州,2022,3,2022-03,19013
福州,2022,4,2022-04,18720
