city,current_price,historical_count,forecast_periods,trend,change_percent,confidence,linear_formula,linear_r_squared,linear_slope,linear_trend,polynomial_formula,polynomial_r_squared,polynomial_degree,exponential_alpha,exponential_formula,exponential_last_smoothed,exponential_trend,ma_window_size,ma_formula,ma_base_prediction,ma_trend,linear_details,polynomial_details,exponential_details,moving_average_details
昆明,12145,108,36,下跌,-13.45,中等,y = 12.71x + 11911.68,0.11640710360403472,12.712071412920247,上升,-1.0773x^2 + 127.9874x^1 + 9875.1513x^0,0.7663261034580908,2,0.3,基于alpha=0.3的指数平滑,12237.445053086694,-31.666666666666668,3,最近3期移动平均，趋势调整:-31.6667,12210.0,-31.666666666666668,"{""method"": ""线性回归"", ""formula"": ""y = 12.71x + 11911.68"", ""r_squared"": 0.11640710360403472, ""slope"": 12.712071412920247, ""intercept"": 11911.681957186544, ""confidence_lower"": [11124.444066170701, 11137.15613758362, 11149.86820899654, 11162.580280409462, 11175.292351822382, 11188.004423235301, 11200.716494648223, 11213.428566061142, 11226.140637474064, 11238.852708886983, 11251.564780299903, 11264.276851712822, 11276.988923125744, 11289.700994538664, 11302.413065951585, 11315.125137364505, 11327.837208777424, 11340.549280190346, 11353.261351603265, 11365.973423016185, 11378.685494429106, 11391.397565842026, 11404.109637254945, 11416.821708667867, 11429.533780080787, 11442.245851493706, 11454.957922906628, 11467.669994319547, 11480.382065732467, 11493.094137145388, 11505.806208558308, 11518.51827997123, 11531.230351384149, 11543.942422797069, 11556.654494209988, 11569.36656562291], ""confidence_upper"": [15444.72727339316, 15457.43934480608, 15470.151416219, 15482.863487631921, 15495.57555904484, 15508.28763045776, 15520.999701870682, 15533.711773283601, 15546.423844696523, 15559.135916109442, 15571.847987522362, 15584.560058935282, 15597.272130348203, 15609.984201761123, 15622.696273174044, 15635.408344586964, 15648.120415999883, 15660.832487412805, 15673.544558825724, 15686.256630238644, 15698.968701651565, 15711.680773064485, 15724.392844477405, 15737.104915890326, 15749.816987303246, 15762.529058716165, 15775.241130129087, 15787.953201542006, 15800.665272954926, 15813.377344367847, 15826.089415780767, 15838.801487193688, 15851.513558606608, 15864.225630019528, 15876.937701432447, 15889.649772845369], ""trend"": ""上升"", ""monthly_change"": 12.712071412920247}","{""method"": ""2次多项式回归"", ""formula"": ""-1.0773x^2 + 127.9874x^1 + 9875.1513x^0"", ""r_squared"": 0.7663261034580908, ""coefficients"": [-1.0773394255200122, 127.98738994356165, 9875.15132981188]}","{""method"": ""指数平滑"", ""alpha"": 0.3, ""formula"": ""基于alpha=0.3的指数平滑"", ""last_smoothed_value"": 12237.445053086694, ""recent_trend"": -31.666666666666668, ""trend_adjustment"": -31.666666666666668}","{""method"": ""3期移动平均"", ""window_size"": 3, ""formula"": ""最近3期移动平均，趋势调整:-31.6667"", ""base_prediction"": 12210.0, ""trend"": -31.666666666666668}"
福州,19585,108,36,持平,1.73,中等,y = 18.99x + 18101.63,0.19734945022613712,18.992026065334823,上升,0.6029x^2 + -45.5141x^1 + 19241.2377x^0,0.3519227024678181,2,0.3,基于alpha=0.3的指数平滑,19800.820920351434,-79.0,3,最近3期移动平均，趋势调整:-79.0000,19700.666666666668,-79.0,"{""method"": ""线性回归"", ""formula"": ""y = 18.99x + 18101.63"", ""r_squared"": 0.19734945022613712, ""slope"": 18.992026065334823, ""intercept"": 18101.630309208293, ""confidence_lower"": [17790.408897062025, 17809.40092312736, 17828.392949192694, 17847.384975258028, 17866.377001323362, 17885.369027388697, 17904.361053454035, 17923.35307951937, 17942.345105584704, 17961.337131650038, 17980.329157715372, 17999.321183780707, 18018.31320984604, 18037.30523591138, 18056.297261976713, 18075.289288042048, 18094.281314107382, 18113.273340172716, 18132.26536623805, 18151.257392303385, 18170.24941836872, 18189.241444434054, 18208.233470499392, 18227.225496564726, 18246.21752263006, 18265.209548695395, 18284.20157476073, 18303.193600826064, 18322.185626891398, 18341.177652956736, 18360.16967902207, 18379.161705087405, 18398.15373115274, 18417.145757218073, 18436.137783283408, 18455.129809348742], ""confidence_upper"": [22515.129351466883, 22534.121377532218, 22553.113403597552, 22572.105429662886, 22591.09745572822, 22610.089481793555, 22629.081507858893, 22648.073533924227, 22667.06555998956, 22686.057586054896, 22705.04961212023, 22724.041638185565, 22743.0336642509, 22762.025690316237, 22781.01771638157, 22800.009742446906, 22819.00176851224, 22837.993794577575, 22856.98582064291, 22875.977846708243, 22894.969872773578, 22913.961898838912, 22932.95392490425, 22951.945950969584, 22970.93797703492, 22989.930003100253, 23008.922029165587, 23027.91405523092, 23046.906081296256, 23065.898107361594, 23084.89013342693, 23103.882159492263, 23122.874185557597, 23141.86621162293, 23160.858237688266, 23179.8502637536], ""trend"": ""上升"", ""monthly_change"": 18.992026065334823}","{""method"": ""2次多项式回归"", ""formula"": ""0.6029x^2 + -45.5141x^1 + 19241.2377x^0"", ""r_squared"": 0.3519227024678181, ""coefficients"": [0.602860547808209, -45.51405255014338, 19241.237698081746]}","{""method"": ""指数平滑"", ""alpha"": 0.3, ""formula"": ""基于alpha=0.3的指数平滑"", ""last_smoothed_value"": 19800.820920351434, ""recent_trend"": -79.0, ""trend_adjustment"": -79.0}","{""method"": ""3期移动平均"", ""window_size"": 3, ""formula"": ""最近3期移动平均，趋势调整:-79.0000"", ""base_prediction"": 19700.666666666668, ""trend"": -79.0}"
济南,14350,108,36,下跌,-4.06,中等,y = -10.54x + 15039.21,0.09272037814039313,-10.540317433098021,下降,-0.0838x^2 + -1.5762x^1 + 14880.8462x^0,0.09727365562334711,2,0.3,基于alpha=0.3的指数平滑,14247.347431014643,0.0,3,最近3期移动平均，趋势调整:0.0000,14350.0,0.0,"{""method"": ""线性回归"", ""formula"": ""y = -10.54x + 15039.21"", ""r_squared"": 0.09272037814039313, ""slope"": -10.540317433098021, ""intercept"": 15039.212538226298, ""confidence_lower"": [11867.255120422884, 11856.714802989785, 11846.174485556687, 11835.63416812359, 11825.093850690491, 11814.553533257393, 11804.013215824296, 11793.472898391197, 11782.932580958099, 11772.392263525002, 11761.851946091903, 11751.311628658805, 11740.771311225708, 11730.23099379261, 11719.69067635951, 11709.150358926414, 11698.610041493315, 11688.069724060217, 11677.52940662712, 11666.989089194021, 11656.448771760923, 11645.908454327826, 11635.368136894727, 11624.827819461629, 11614.287502028532, 11603.747184595433, 11593.206867162335, 11582.666549729238, 11572.12623229614, 11561.58591486304, 11551.045597429944, 11540.505279996845, 11529.964962563747, 11519.42464513065, 11508.884327697551, 11498.344010264453], ""confidence_upper"": [15934.461390480541, 15923.921073047442, 15913.380755614344, 15902.840438181247, 15892.300120748148, 15881.75980331505, 15871.219485881953, 15860.679168448854, 15850.138851015756, 15839.598533582659, 15829.05821614956, 15818.517898716462, 15807.977581283365, 15797.437263850266, 15786.896946417168, 15776.356628984071, 15765.816311550972, 15755.275994117874, 15744.735676684777, 15734.195359251678, 15723.65504181858, 15713.114724385483, 15702.574406952384, 15692.034089519286, 15681.493772086189, 15670.95345465309, 15660.413137219992, 15649.872819786895, 15639.332502353796, 15628.792184920698, 15618.251867487601, 15607.711550054502, 15597.171232621404, 15586.630915188307, 15576.090597755208, 15565.55028032211], ""trend"": ""下降"", ""monthly_change"": -10.540317433098021}","{""method"": ""2次多项式回归"", ""formula"": ""-0.0838x^2 + -1.5762x^1 + 14880.8462x^0"", ""r_squared"": 0.09727365562334711, ""coefficients"": [-0.08377694249116252, -1.5761845865436481, 14880.846191270515]}","{""method"": ""指数平滑"", ""alpha"": 0.3, ""formula"": ""基于alpha=0.3的指数平滑"", ""last_smoothed_value"": 14247.347431014643, ""recent_trend"": 0.0, ""trend_adjustment"": 0.0}","{""method"": ""3期移动平均"", ""window_size"": 3, ""formula"": ""最近3期移动平均，趋势调整:0.0000"", ""base_prediction"": 14350.0, ""trend"": 0.0}"
贵阳,8762,108,36,下跌,-14.4,中等,y = 11.48x + 8427.53,0.05609396760063075,11.481179799365515,上升,-1.0864x^2 + 127.7293x^1 + 6373.8173x^0,0.44653458954019365,2,0.3,基于alpha=0.3的指数平滑,8747.80769338649,0.0,3,最近3期移动平均，趋势调整:0.0000,8762.0,0.0,"{""method"": ""线性回归"", ""formula"": ""y = 11.48x + 8427.53"", ""r_squared"": 0.05609396760063075, ""slope"": 11.481179799365515, ""intercept"": 8427.534658511722, ""confidence_lower"": [6762.661178023585, 6774.142357822951, 6785.623537622318, 6797.104717421682, 6808.585897221048, 6820.067077020414, 6831.5482568197785, 6843.029436619145, 6854.510616418511, 6865.991796217875, 6877.472976017241, 6888.954155816607, 6900.435335615972, 6911.916515415338, 6923.397695214704, 6934.878875014068, 6946.3600548134345, 6957.841234612801, 6969.322414412165, 6980.803594211531, 6992.284774010897, 7003.765953810262, 7015.247133609628, 7026.728313408994, 7038.209493208358, 7049.690673007724, 7061.1718528070905, 7072.653032606455, 7084.134212405821, 7095.615392205187, 7107.0965720045515, 7118.577751803918, 7130.058931603284, 7141.540111402648, 7153.021291202014, 7164.502471001379], ""confidence_upper"": [12572.342975662808, 12583.824155462175, 12595.30533526154, 12606.786515060905, 12618.267694860271, 12629.748874659637, 12641.230054459002, 12652.711234258368, 12664.192414057734, 12675.673593857098, 12687.154773656464, 12698.63595345583, 12710.117133255195, 12721.598313054561, 12733.079492853927, 12744.560672653291, 12756.041852452658, 12767.523032252024, 12779.004212051388, 12790.485391850754, 12801.96657165012, 12813.447751449485, 12824.92893124885, 12836.410111048217, 12847.891290847581, 12859.372470646947, 12870.853650446314, 12882.334830245678, 12893.816010045044, 12905.29718984441, 12916.778369643775, 12928.25954944314, 12939.740729242507, 12951.221909041871, 12962.703088841237, 12974.184268640602], ""trend"": ""上升"", ""monthly_change"": 11.481179799365515}","{""method"": ""2次多项式回归"", ""formula"": ""-1.0864x^2 + 127.7293x^1 + 6373.8173x^0"", ""r_squared"": 0.44653458954019365, ""coefficients"": [-1.0864313542893926, 127.72933470833055, 6373.8172551200105]}","{""method"": ""指数平滑"", ""alpha"": 0.3, ""formula"": ""基于alpha=0.3的指数平滑"", ""last_smoothed_value"": 8747.80769338649, ""recent_trend"": 0.0, ""trend_adjustment"": 0.0}","{""method"": ""3期移动平均"", ""window_size"": 3, ""formula"": ""最近3期移动平均，趋势调整:0.0000"", ""base_prediction"": 8762.0, ""trend"": 0.0}"
南昌,11398,108,36,下跌,-3.77,中等,y = -16.70x + 13118.09,0.264815190853812,-16.69602827555327,下降,-0.5259x^2 + 39.5801x^1 + 12123.8772x^0,0.4690854934509242,2,0.3,基于alpha=0.3的指数平滑,11321.246017493786,48.0,3,最近3期移动平均，趋势调整:48.0000,11337.333333333334,48.0,"{""method"": ""线性回归"", ""formula"": ""y = -16.70x + 13118.09"", ""r_squared"": 0.264815190853812, ""slope"": -16.69602827555327, ""intercept"": 13118.089364593952, ""confidence_lower"": [9599.10703309571, 9582.411004820156, 9565.714976544605, 9549.018948269051, 9532.322919993498, 9515.626891717944, 9498.93086344239, 9482.234835166837, 9465.538806891283, 9448.842778615732, 9432.146750340178, 9415.450722064625, 9398.754693789071, 9382.058665513518, 9365.362637237964, 9348.666608962412, 9331.970580686859, 9315.274552411305, 9298.578524135752, 9281.882495860198, 9265.186467584645, 9248.490439309091, 9231.794411033537, 9215.098382757986, 9198.402354482432, 9181.706326206879, 9165.010297931325, 9148.314269655772, 9131.61824138022, 9114.922213104666, 9098.226184829113, 9081.53015655356, 9064.834128278006, 9048.138100002452, 9031.442071726899, 9014.746043451345], ""confidence_upper"": [13030.729588572687, 13014.033560297134, 12997.337532021582, 12980.641503746028, 12963.945475470475, 12947.249447194921, 12930.553418919368, 12913.857390643814, 12897.16136236826, 12880.465334092709, 12863.769305817155, 12847.073277541602, 12830.377249266048, 12813.681220990495, 12796.985192714941, 12780.28916443939, 12763.593136163836, 12746.897107888282, 12730.201079612729, 12713.505051337175, 12696.809023061622, 12680.112994786068, 12663.416966510515, 12646.720938234963, 12630.02490995941, 12613.328881683856, 12596.632853408302, 12579.936825132749, 12563.240796857197, 12546.544768581643, 12529.84874030609, 12513.152712030536, 12496.456683754983, 12479.76065547943, 12463.064627203876, 12446.368598928322], ""trend"": ""下降"", ""monthly_change"": -16.69602827555327}","{""method"": ""2次多项式回归"", ""formula"": ""-0.5259x^2 + 39.5801x^1 + 12123.8772x^0"", ""r_squared"": 0.4690854934509242, ""coefficients"": [-0.5259454408941808, 39.58013390012406, 12123.877166156986]}","{""method"": ""指数平滑"", ""alpha"": 0.3, ""formula"": ""基于alpha=0.3的指数平滑"", ""last_smoothed_value"": 11321.246017493786, ""recent_trend"": 48.0, ""trend_adjustment"": 48.0}","{""method"": ""3期移动平均"", ""window_size"": 3, ""formula"": ""最近3期移动平均，趋势调整:48.0000"", ""base_prediction"": 11337.333333333334, ""trend"": 48.0}"
杭州,21427,108,36,下跌,-6.61,中等,y = -26.76x + 24495.07,0.24326265395512628,-26.758509817371174,下降,-0.0997x^2 + -16.0948x^1 + 24306.6793x^0,0.24588569762955426,2,0.3,基于alpha=0.3的指数平滑,21511.017742311684,-51.0,3,最近3期移动平均，趋势调整:-51.0000,21571.666666666668,-51.0,"{""method"": ""线性回归"", ""formula"": ""y = -26.76x + 24495.07"", ""r_squared"": 0.24326265395512628, ""slope"": -26.758509817371174, ""intercept"": 24495.071015970098, ""confidence_lower"": [18694.258440061556, 18667.499930244183, 18640.741420426813, 18613.982910609444, 18587.22440079207, 18560.4658909747, 18533.70738115733, 18506.94887133996, 18480.190361522586, 18453.431851705216, 18426.673341887843, 18399.914832070473, 18373.1563222531, 18346.39781243573, 18319.639302618358, 18292.88079280099, 18266.122282983615, 18239.363773166246, 18212.605263348876, 18185.846753531503, 18159.088243714134, 18132.32973389676, 18105.57122407939, 18078.812714262018, 18052.05420444465, 18025.295694627275, 17998.537184809906, 17971.778674992533, 17945.020165175163, 17918.261655357794, 17891.50314554042, 17864.744635723047, 17837.986125905678, 17811.22761608831, 17784.469106270935, 17757.710596453566], ""confidence_upper"": [24516.045471326466, 24489.286961509093, 24462.528451691724, 24435.769941874354, 24409.01143205698, 24382.25292223961, 24355.49441242224, 24328.73590260487, 24301.977392787496, 24275.218882970126, 24248.460373152753, 24221.701863335384, 24194.94335351801, 24168.18484370064, 24141.426333883268, 24114.6678240659, 24087.909314248525, 24061.150804431156, 24034.392294613786, 24007.633784796413, 23980.875274979044, 23954.11676516167, 23927.3582553443, 23900.599745526928, 23873.84123570956, 23847.082725892185, 23820.324216074816, 23793.565706257443, 23766.807196440073, 23740.048686622704, 23713.29017680533, 23686.531666987958, 23659.773157170588, 23633.01464735322, 23606.256137535845, 23579.497627718476], ""trend"": ""下降"", ""monthly_change"": -26.758509817371174}","{""method"": ""2次多项式回归"", ""formula"": ""-0.0997x^2 + -16.0948x^1 + 24306.6793x^0"", ""r_squared"": 0.24588569762955426, ""coefficients"": [-0.09966055900505644, -16.09483000383019, 24306.679339264214]}","{""method"": ""指数平滑"", ""alpha"": 0.3, ""formula"": ""基于alpha=0.3的指数平滑"", ""last_smoothed_value"": 21511.017742311684, ""recent_trend"": -51.0, ""trend_adjustment"": -51.0}","{""method"": ""3期移动平均"", ""window_size"": 3, ""formula"": ""最近3期移动平均，趋势调整:-51.0000"", ""base_prediction"": 21571.666666666668, ""trend"": -51.0}"
合肥,17023,108,36,上涨,5.09,中等,y = 36.50x + 13184.33,0.635581747406518,36.502919965322434,上升,0.3074x^2 + 3.6143x^1 + 13765.3671x^0,0.6706123569259483,2,0.3,基于alpha=0.3的指数平滑,17060.57996282661,-21.333333333333332,3,最近3期移动平均，趋势调整:-21.3333,17063.333333333332,-21.333333333333332,"{""method"": ""线性回归"", ""formula"": ""y = 36.50x + 13184.33"", ""r_squared"": 0.635581747406518, ""slope"": 36.502919965322434, ""intercept"": 13184.334522595991, ""confidence_lower"": [15421.857521331634, 15458.360441296956, 15494.863361262278, 15531.366281227603, 15567.869201192925, 15604.372121158247, 15640.875041123569, 15677.37796108889, 15713.880881054212, 15750.383801019534, 15786.88672098486, 15823.389640950181, 15859.892560915503, 15896.395480880825, 15932.89840084615, 15969.401320811472, 16005.904240776794, 16042.407160742116, 16078.910080707437, 16115.41300067276, 16151.915920638081, 16188.418840603406, 16224.921760568728, 16261.42468053405, 16297.927600499372, 16334.430520464697, 16370.933440430019, 16407.43636039534, 16443.93928036066, 16480.442200325982, 16516.945120291304, 16553.448040256626, 16589.95096022195, 16626.453880187273, 16662.956800152595, 16699.459720117917], ""confidence_upper"": [18831.442236369996, 18867.945156335318, 18904.44807630064, 18940.950996265965, 18977.453916231287, 19013.95683619661, 19050.45975616193, 19086.962676127252, 19123.465596092574, 19159.968516057896, 19196.47143602322, 19232.974355988543, 19269.477275953865, 19305.980195919186, 19342.48311588451, 19378.986035849834, 19415.488955815155, 19451.991875780477, 19488.4947957458, 19524.99771571112, 19561.500635676442, 19598.003555641768, 19634.50647560709, 19671.00939557241, 19707.512315537733, 19744.01523550306, 19780.51815546838, 19817.021075433702, 19853.523995399024, 19890.026915364346, 19926.529835329668, 19963.03275529499, 19999.535675260315, 20036.038595225637, 20072.54151519096, 20109.04443515628], ""trend"": ""上升"", ""monthly_change"": 36.502919965322434}","{""method"": ""2次多项式回归"", ""formula"": ""0.3074x^2 + 3.6143x^1 + 13765.3671x^0"", ""r_squared"": 0.6706123569259483, ""coefficients"": [0.30737044024994203, 3.6142828585786826, 13765.3671114818]}","{""method"": ""指数平滑"", ""alpha"": 0.3, ""formula"": ""基于alpha=0.3的指数平滑"", ""last_smoothed_value"": 17060.57996282661, ""recent_trend"": -21.333333333333332, ""trend_adjustment"": -21.333333333333332}","{""method"": ""3期移动平均"", ""window_size"": 3, ""formula"": ""最近3期移动平均，趋势调整:-21.3333"", ""base_prediction"": 17063.333333333332, ""trend"": -21.333333333333332}"
乌鲁木齐,8305,108,36,下跌,-8.81,中等,y = 3.37x + 8561.92,0.026866527057365176,3.3743748035096743,上升,-0.5602x^2 + 63.3142x^1 + 7502.9779x^0,0.602433693132028,2,0.3,基于alpha=0.3的指数平滑,8361.556602938377,-7.333333333333333,3,最近3期移动平均，趋势调整:-7.3333,8312.333333333334,-7.333333333333333,"{""method"": ""线性回归"", ""formula"": ""y = 3.37x + 8561.92"", ""r_squared"": 0.026866527057365176, ""slope"": 3.3743748035096743, ""intercept"": 8561.915392456678, ""confidence_lower"": [7673.774163800965, 7677.148538604475, 7680.522913407984, 7683.897288211494, 7687.271663015004, 7690.646037818513, 7694.020412622023, 7697.394787425532, 7700.769162229042, 7704.143537032553, 7707.517911836061, 7710.8922866395715, 7714.266661443082, 7717.64103624659, 7721.015411050101, 7724.389785853609, 7727.76416065712, 7731.13853546063, 7734.512910264139, 7737.887285067649, 7741.261659871159, 7744.636034674668, 7748.010409478178, 7751.384784281687, 7754.759159085197, 7758.1335338887075, 7761.507908692216, 7764.882283495726, 7768.256658299235, 7771.631033102745, 7775.005407906256, 7778.379782709764, 7781.754157513275, 7785.128532316785, 7788.5029071202935, 7791.877281923804], ""confidence_upper"": [10178.92157867048, 10182.295953473991, 10185.6703282775, 10189.04470308101, 10192.41907788452, 10195.793452688029, 10199.16782749154, 10202.542202295048, 10205.916577098558, 10209.290951902069, 10212.665326705577, 10216.039701509088, 10219.414076312598, 10222.788451116106, 10226.162825919617, 10229.537200723125, 10232.911575526636, 10236.285950330146, 10239.660325133655, 10243.034699937165, 10246.409074740675, 10249.783449544184, 10253.157824347694, 10256.532199151203, 10259.906573954713, 10263.280948758224, 10266.655323561732, 10270.029698365242, 10273.404073168751, 10276.778447972261, 10280.152822775772, 10283.52719757928, 10286.90157238279, 10290.275947186301, 10293.65032198981, 10297.02469679332], ""trend"": ""上升"", ""monthly_change"": 3.3743748035096743}","{""method"": ""2次多项式回归"", ""formula"": ""-0.5602x^2 + 63.3142x^1 + 7502.9779x^0"", ""r_squared"": 0.602433693132028, ""coefficients"": [-0.5601855657943359, 63.31423034350366, 7502.977944583453]}","{""method"": ""指数平滑"", ""alpha"": 0.3, ""formula"": ""基于alpha=0.3的指数平滑"", ""last_smoothed_value"": 8361.556602938377, ""recent_trend"": -7.333333333333333, ""trend_adjustment"": -7.333333333333333}","{""method"": ""3期移动平均"", ""window_size"": 3, ""formula"": ""最近3期移动平均，趋势调整:-7.3333"", ""base_prediction"": 8312.333333333334, ""trend"": -7.333333333333333}"
广州,36720,108,36,上涨,3.27,中等,y = 88.54x + 27949.19,0.7752164562962669,88.54350891232482,上升,-0.4519x^2 + 136.8945x^1 + 27094.9897x^0,0.7909114189288251,2,0.3,基于alpha=0.3的指数平滑,36553.516132072415,5.333333333333333,3,最近3期移动平均，趋势调整:5.3333,36709.333333333336,5.333333333333333,"{""method"": ""线性回归"", ""formula"": ""y = 88.54x + 27949.19"", ""r_squared"": 0.7752164562962669, ""slope"": 88.54350891232482, ""intercept"": 27949.19079170914, ""confidence_lower"": [34571.1470711743, 34659.69058008662, 34748.23408899895, 34836.77759791127, 34925.3211068236, 35013.86461573592, 35102.408124648246, 35190.95163356057, 35279.49514247289, 35368.03865138522, 35456.58216029755, 35545.12566920987, 35633.669178122196, 35722.212687034524, 35810.756195946844, 35899.29970485917, 35987.8432137715, 36076.38672268382, 36164.93023159615, 36253.47374050847, 36342.017249420795, 36430.56075833312, 36519.10426724544, 36607.64777615777, 36696.19128507009, 36784.73479398242, 36873.278302894745, 36961.821811807065, 37050.36532071939, 37138.90882963172, 37227.45233854404, 37315.99584745637, 37404.539356368696, 37493.082865281016, 37581.62637419334, 37670.16988310567], ""confidence_upper"": [40452.63243730615, 40541.17594621847, 40629.7194551308, 40718.26296404312, 40806.806472955446, 40895.34998186777, 40983.893490780094, 41072.43699969242, 41160.98050860474, 41249.52401751707, 41338.0675264294, 41426.61103534172, 41515.154544254045, 41603.69805316637, 41692.24156207869, 41780.78507099102, 41869.32857990335, 41957.87208881567, 42046.415597727995, 42134.959106640315, 42223.50261555264, 42312.04612446497, 42400.58963337729, 42489.13314228962, 42577.67665120194, 42666.220160114266, 42754.76366902659, 42843.307177938914, 42931.85068685124, 43020.39419576357, 43108.93770467589, 43197.48121358822, 43286.024722500544, 43374.568231412864, 43463.11174032519, 43551.65524923752], ""trend"": ""上升"", ""monthly_change"": 88.54350891232482}","{""method"": ""2次多项式回归"", ""formula"": ""-0.4519x^2 + 136.8945x^1 + 27094.9897x^0"", ""r_squared"": 0.7909114189288251, ""coefficients"": [-0.4518785582223546, 136.89451464211677, 27094.98969048283]}","{""method"": ""指数平滑"", ""alpha"": 0.3, ""formula"": ""基于alpha=0.3的指数平滑"", ""last_smoothed_value"": 36553.516132072415, ""recent_trend"": 5.333333333333333, ""trend_adjustment"": 5.333333333333333}","{""method"": ""3期移动平均"", ""window_size"": 3, ""formula"": ""最近3期移动平均，趋势调整:5.3333"", ""base_prediction"": 36709.333333333336, ""trend"": 5.333333333333333}"
郑州,13748,108,36,上涨,3.04,中等,y = -5.71x + 13291.13,0.055824519452282576,-5.710046967142055,下降,-0.1323x^2 + 8.4449x^1 + 13041.0565x^0,0.07911610031322824,2,0.3,基于alpha=0.3的指数平滑,13572.97034283566,75.0,3,最近3期移动平均，趋势调整:75.0000,13673.0,75.0,"{""method"": ""线性回归"", ""formula"": ""y = -5.71x + 13291.13"", ""r_squared"": 0.055824519452282576, ""slope"": -5.710046967142055, ""intercept"": 13291.126401630989, ""confidence_lower"": [11226.059478659085, 11220.349431691942, 11214.639384724804, 11208.929337757661, 11203.21929079052, 11197.509243823377, 11191.799196856235, 11186.089149889092, 11180.37910292195, 11174.669055954808, 11168.959008987666, 11163.248962020523, 11157.538915053381, 11151.828868086239, 11146.118821119097, 11140.408774151954, 11134.698727184812, 11128.98868021767, 11123.278633250527, 11117.568586283385, 11111.858539316247, 11106.148492349104, 11100.438445381962, 11094.72839841482, 11089.018351447678, 11083.308304480535, 11077.598257513393, 11071.88821054625, 11066.178163579109, 11060.468116611966, 11054.758069644824, 11049.048022677682, 11043.33797571054, 11037.627928743397, 11031.917881776255, 11026.207834809113], ""confidence_upper"": [14122.823179700208, 14117.113132733066, 14111.403085765924, 14105.693038798781, 14099.982991831639, 14094.272944864497, 14088.562897897355, 14082.852850930212, 14077.14280396307, 14071.432756995928, 14065.722710028786, 14060.012663061647, 14054.302616094505, 14048.592569127362, 14042.88252216022, 14037.172475193078, 14031.462428225936, 14025.752381258793, 14020.042334291651, 14014.332287324509, 14008.622240357367, 14002.912193390224, 13997.202146423082, 13991.49209945594, 13985.782052488797, 13980.072005521655, 13974.361958554513, 13968.65191158737, 13962.941864620228, 13957.23181765309, 13951.521770685948, 13945.811723718805, 13940.101676751663, 13934.39162978452, 13928.681582817379, 13922.971535850236], ""trend"": ""下降"", ""monthly_change"": -5.710046967142055}","{""method"": ""2次多项式回归"", ""formula"": ""-0.1323x^2 + 8.4449x^1 + 13041.0565x^0"", ""r_squared"": 0.07911610031322824, ""coefficients"": [-0.13228878304168584, 8.444852818318362, 13041.056505421191]}","{""method"": ""指数平滑"", ""alpha"": 0.3, ""formula"": ""基于alpha=0.3的指数平滑"", ""last_smoothed_value"": 13572.97034283566, ""recent_trend"": 75.0, ""trend_adjustment"": 75.0}","{""method"": ""3期移动平均"", ""window_size"": 3, ""formula"": ""最近3期移动平均，趋势调整:75.0000"", ""base_prediction"": 13673.0, ""trend"": 75.0}"
