crawl_district,title,price,price_unit,price_per_sqm,room_type,area,orientation,floor,year,community,district,business_area,location,tags,url,crawl_time
平谷,万德福住宅本，电梯中层，3居2卫，满五有钥匙,318,万,24366元/㎡,3室2厅2卫,130.51,南北,中层(共15层),2015,万德福广场,平谷,平谷城区,平谷 平谷城区 迎宾街1号,南北 唯一住房,https://bj.58.com/ershoufang/4324825685699591x.shtml?auction=220&hpType=60&entry=102&position=0&kwtype=filter&now_time=1764309107&typecode=220&region_ids=6814&spread=filtersearch_c&epauction=&stats_key=2bf2869f-e952-47fe-a975-df98525e6db8_0&from=from_esf_List_screen&index=0,2025-11-28 13:51:47
平谷,腾龙源城 刚需两居 近医院 中间楼层   清晰 南北通透,155,万,19035元/㎡,2室1厅1卫,81.43,南北,中层(共20层),2002,腾龙源城,平谷,平谷城区,平谷 平谷城区 谷丰路39号,南北 满五年 采光较好,https://bj.58.com/ershoufang/4336335857282055x.shtml?auction=220&hpType=60&entry=102&position=1&kwtype=filter&now_time=1764309107&typecode=220&region_ids=6814&spread=filtersearch_c&epauction=&stats_key=2bf2869f-e952-47fe-a975-df98525e6db8_1&from=from_esf_List_screen&index=1,2025-11-28 13:51:47
平谷,腾龙源城 10层楼层好 精装可拎包入住 近医院 有电梯,188,万,20749元/㎡,2室2厅1卫,90.61,南,中层(共20层),2010,腾龙源城,平谷,平谷城区,平谷 平谷城区 谷丰路39号,南 满五年,https://bj.58.com/ershoufang/3808115238265871x.shtml?auction=220&hpType=60&entry=102&position=2&kwtype=filter&now_time=1764309107&typecode=220&region_ids=6814&spread=filtersearch_c&epauction=&stats_key=2bf2869f-e952-47fe-a975-df98525e6db8_2&from=from_esf_List_screen&index=2,2025-11-28 13:51:47
平谷,南小区南北通透客厅带窗户,90,万,16667元/㎡,2室1厅1卫,54,南北,共5层,1996,南小区,平谷,平谷城区,平谷 平谷城区 建设街,南北 满五年 户型方正,https://bj.58.com/ershoufang/4162347540655113x.shtml?auction=220&hpType=60&entry=102&position=3&kwtype=filter&now_time=1764309107&typecode=220&region_ids=6814&spread=filtersearch_c&epauction=&stats_key=2bf2869f-e952-47fe-a975-df98525e6db8_3&from=from_esf_List_screen&index=3,2025-11-28 13:51:47
平谷,紧邻步行街~新开街~68平南北通透~教育好房~价格有惊喜,80,万,11765元/㎡,2室2厅1卫,68,南北,高层(共6层),1993,新开街小区,平谷,平谷城区,平谷 平谷城区 新开街,南北 满五年 采光较好 人气热搜,https://bj.58.com/ershoufang/4287981992111112x.shtml?auction=220&hpType=60&entry=102&position=4&kwtype=filter&now_time=1764309107&typecode=220&region_ids=6814&spread=filtersearch_c&epauction=&stats_key=2bf2869f-e952-47fe-a975-df98525e6db8_4&from=from_esf_List_screen&index=4,2025-11-28 13:51:47
平谷,滨河小区(平谷) 中间楼层 商业配套齐全 医疗配套成熟,122,万,15824元/㎡,3室1厅1卫,77.1,南北,高层(共7层),1998,滨河小区(平谷),平谷,平谷城区,平谷 平谷城区 新平南街,南北 满五年 户型方正,https://bj.58.com/ershoufang/4164797839322115x.shtml?auction=220&hpType=60&entry=102&position=5&kwtype=filter&now_time=1764309107&typecode=220&region_ids=6814&spread=filtersearch_c&epauction=&stats_key=2bf2869f-e952-47fe-a975-df98525e6db8_5&from=from_esf_List_screen&index=5,2025-11-28 13:51:47
平谷,乐园西小区 低层次 精装修  大三居 看房方便 老本,156,万,15824元/㎡,3室2厅1卫,98.59,南北,低层(共6层),1997,乐园西小区,平谷,平谷城区,平谷 平谷城区 平谷南街35号,南北 满五年,https://bj.58.com/ershoufang/3979371641298958x.shtml?auction=220&hpType=60&entry=102&position=6&kwtype=filter&now_time=1764309107&typecode=220&region_ids=6814&spread=filtersearch_c&epauction=&stats_key=2bf2869f-e952-47fe-a975-df98525e6db8_6&from=from_esf_List_screen&index=6,2025-11-28 13:51:47
平谷,都丽豪廷三居室两卫满五年  位置好诚意出售,260,万,17694元/㎡,3室2厅2卫,146.95,南北,中层(共12层),2004,都丽豪廷,平谷,平谷城区,平谷 平谷城区 新开街,南北 唯一住房 户型方正,https://bj.58.com/ershoufang/4317857542316043x.shtml?auction=220&hpType=60&entry=102&position=7&kwtype=filter&now_time=1764309107&typecode=220&region_ids=6814&spread=filtersearch_c&epauction=&stats_key=2bf2869f-e952-47fe-a975-df98525e6db8_7&from=from_esf_List_screen&index=7,2025-11-28 13:51:47
平谷,平谷迎宾环岛，金谷御景，南向两居，有钥匙随时看房满五年近地铁,145,万,15761元/㎡,2室1厅1卫,92,南北,低层(共25层),2005,金谷御景,平谷,平谷城区,平谷 平谷城区 顺平路,经纪人力荐 南北 满五年,https://bj.58.com/ershoufang/4336427541946382x.shtml?auction=220&hpType=60&entry=102&position=8&kwtype=filter&now_time=1764309107&typecode=220&region_ids=6814&spread=filtersearch_c&epauction=&stats_key=2bf2869f-e952-47fe-a975-df98525e6db8_8&from=from_esf_List_screen&index=8,2025-11-28 13:51:47
平谷,3金海湖别墅326萬，70平大园子，可议价，有钥匙。,326,万,13093元/㎡,3室3厅3卫,249,南北,共3层,2019,和棠瑞著(北区),平谷,金海湖,平谷 金海湖 观海街115号,南北 唯一住房,https://bj.58.com/ershoufang/4067300294893574x.shtml?auction=220&hpType=60&entry=102&position=9&kwtype=filter&now_time=1764309107&typecode=220&region_ids=6814&spread=filtersearch_c&epauction=&stats_key=2bf2869f-e952-47fe-a975-df98525e6db8_9&from=from_esf_List_screen&index=9,2025-11-28 13:51:47
平谷,近教育 现浇房 采光好 新户型 南北通透 大三居 价格可议,145,万,12979元/㎡,3室2厅1卫,111.72,南北,高层(共6层),2003,林荫家园,平谷,平谷城区,平谷 平谷城区 林荫南街9-16号,南北 户型方正,https://bj.58.com/ershoufang/3989245517324302x.shtml?auction=220&hpType=60&entry=102&position=10&kwtype=filter&now_time=1764309107&typecode=220&region_ids=6814&spread=filtersearch_c&epauction=&stats_key=2bf2869f-e952-47fe-a975-df98525e6db8_10&from=from_esf_List_screen&index=10,2025-11-28 13:51:47
平谷,紫贵御园(南区) 交通便捷 楼龄新 商品住宅 南北通透,99,万,13562元/㎡,2室1厅1卫,73,南北,低层(共13层),2015,紫贵御园(南区),平谷,平谷周边,平谷 平谷周边 南定福东路182号,南北 满五年,https://bj.58.com/ershoufang/4333272069987330x.shtml?auction=220&hpType=60&entry=102&position=11&kwtype=filter&now_time=1764309107&typecode=220&region_ids=6814&spread=filtersearch_c&epauction=&stats_key=2bf2869f-e952-47fe-a975-df98525e6db8_11&from=from_esf_List_screen&index=11,2025-11-28 13:51:47
平谷,建设街18号院 低层次 3居 老本   有钥匙 看房方便,129,万,14022元/㎡,3室2厅1卫,92,南北,共4层,2001,建设街18号院,平谷,平谷城区,平谷 平谷城区 建设街18号,南北 满五年,https://bj.58.com/ershoufang/4241537346563076x.shtml?auction=220&hpType=60&entry=102&position=12&kwtype=filter&now_time=1764309107&typecode=220&region_ids=6814&spread=filtersearch_c&epauction=&stats_key=2bf2869f-e952-47fe-a975-df98525e6db8_12&from=from_esf_List_screen&index=12,2025-11-28 13:51:47
平谷,临近地铁22号线，永安家园南北通透3居双卫， 得购买,145,万,12720元/㎡,3室2厅2卫,114,南北,高层(共6层),2005,永安家园(平谷),平谷,平谷城区,平谷 平谷城区 新平西路,南北 满五年,https://bj.58.com/ershoufang/4111350282120200x.shtml?auction=220&hpType=60&entry=102&position=13&kwtype=filter&now_time=1764309107&typecode=220&region_ids=6814&spread=filtersearch_c&epauction=&stats_key=2bf2869f-e952-47fe-a975-df98525e6db8_13&from=from_esf_List_screen&index=13,2025-11-28 13:51:47
平谷,(步行街一小  )(药材楼3居)（交通方便）（周边商圈）,108,万,12591元/㎡,3室2厅1卫,85.78,南北,高层(共6层),1998,平谷向阳楼,平谷,平谷城区,平谷 平谷城区 向阳北街,南北 房东发布 满五年,https://bj.58.com/ershoufang/3833433538552835x.shtml?auction=220&hpType=60&entry=102&position=14&kwtype=filter&now_time=1764309107&typecode=220&region_ids=6814&spread=filtersearch_c&epauction=&stats_key=2bf2869f-e952-47fe-a975-df98525e6db8_14&from=from_esf_List_screen&index=14,2025-11-28 13:51:47
平谷,金谷东园 大3居 低层次临近世纪广场 852沿线,165,万,16337元/㎡,3室2厅1卫,101,南北,共5层,1997,金谷东园,平谷,平谷城区,平谷 平谷城区 新开西街,南北 满五年,https://bj.58.com/ershoufang/3048248619441162x.shtml?auction=220&hpType=60&entry=102&position=15&kwtype=filter&now_time=1764309107&typecode=220&region_ids=6814&spread=filtersearch_c&epauction=&stats_key=2bf2869f-e952-47fe-a975-df98525e6db8_15&from=from_esf_List_screen&index=15,2025-11-28 13:51:47
平谷,新汽车站对面 3室2厅2卫  05年现浇房 有空中院 有钥匙,140,万,12963元/㎡,3室2厅2卫,108,南北,高层(共6层),2005,新平北路5号院,平谷,平谷城区,平谷 平谷城区 新平北路5号,南北 满五年,https://bj.58.com/ershoufang/3482458373250049x.shtml?auction=220&hpType=60&entry=102&position=16&kwtype=filter&now_time=1764309107&typecode=220&region_ids=6814&spread=filtersearch_c&epauction=&stats_key=2bf2869f-e952-47fe-a975-df98525e6db8_16&from=from_esf_List_screen&index=16,2025-11-28 13:51:47
平谷,紫贵御园 电梯房 小2居 老本   看房方便 有钥匙,105,万,16407元/㎡,2室1厅1卫,64,南北,中层(共19层),2014,紫贵御园(北区),平谷,平谷周边,平谷 平谷周边 定福东路180号,南北 房东发布 满五年,https://bj.58.com/ershoufang/4094064536281102x.shtml?auction=220&hpType=60&entry=102&position=17&kwtype=filter&now_time=1764309107&typecode=220&region_ids=6814&spread=filtersearch_c&epauction=&stats_key=2bf2869f-e952-47fe-a975-df98525e6db8_17&from=from_esf_List_screen&index=17,2025-11-28 13:51:47
平谷,区两居中心位置钥匙在手,95,万,17925元/㎡,2室1厅1卫,53,南北,共5层,1986,建设街居民北小区,平谷,平谷城区,平谷 平谷城区 建设西街,南北 满五年,https://bj.58.com/ershoufang/4250124229779461x.shtml?auction=220&hpType=60&entry=102&position=18&kwtype=filter&now_time=1764309107&typecode=220&region_ids=6814&spread=filtersearch_c&epauction=&stats_key=2bf2869f-e952-47fe-a975-df98525e6db8_18&from=from_esf_List_screen&index=18,2025-11-28 13:51:47
平谷,首城汇景湾(北区) 近地铁 中间楼层采光好 商品房 满五,103,万,14588元/㎡,1室1厅1卫,70.61,南北,中层(共18层),2014,首城汇景湾(北区),平谷,马坊,平谷 马坊 梨羊路5号,南北 满五年,https://bj.58.com/ershoufang/4003451468901389x.shtml?auction=220&hpType=60&entry=102&position=19&kwtype=filter&now_time=1764309107&typecode=220&region_ids=6814&spread=filtersearch_c&epauction=&stats_key=2bf2869f-e952-47fe-a975-df98525e6db8_19&from=from_esf_List_screen&index=19,2025-11-28 13:51:47
平谷,春曦园精装正规一室一厅南北通透,89,万,16482元/㎡,1室1厅1卫,54,南北,高层(共6层),2016,春曦园小区,平谷,平谷城区,平谷 平谷城区 平谷南街,南北 满五年,https://bj.58.com/ershoufang/4255447389166601x.shtml?auction=220&hpType=60&entry=102&position=20&kwtype=filter&now_time=1764309107&typecode=220&region_ids=6814&spread=filtersearch_c&epauction=&stats_key=2bf2869f-e952-47fe-a975-df98525e6db8_20&from=from_esf_List_screen&index=20,2025-11-28 13:51:47
平谷,都丽豪庭 三居双卫 146平 视野好 无遮挡,260,万,17694元/㎡,3室2厅2卫,146.95,南北,中层(共12层),2004,都丽豪廷,平谷,平谷城区,平谷 平谷城区 新开街,南北 满五年,https://bj.58.com/ershoufang/4322317712976905x.shtml?auction=220&hpType=60&entry=102&position=21&kwtype=filter&now_time=1764309107&typecode=220&region_ids=6814&spread=filtersearch_c&epauction=&stats_key=2bf2869f-e952-47fe-a975-df98525e6db8_21&from=from_esf_List_screen&index=21,2025-11-28 13:51:47
平谷,瑞丰  电梯一室一厅精装,119,万,24792元/㎡,1室1厅1卫,48,南北,高层(共18层),2014,平谷瑞丰花园,平谷,平谷城区,平谷 平谷城区 平谷大街,南北 满五年,https://bj.58.com/ershoufang/4255410389969927x.shtml?auction=220&hpType=60&entry=102&position=22&kwtype=filter&now_time=1764309107&typecode=220&region_ids=6814&spread=filtersearch_c&epauction=&stats_key=2bf2869f-e952-47fe-a975-df98525e6db8_22&from=from_esf_List_screen&index=22,2025-11-28 13:51:47
平谷,首城汇景湾(北区) 有电梯 低密度社区 商品房 临地铁 满五,85,万,12524元/㎡,1室1厅1卫,67.87,西北,低层(共18层),2014,首城汇景湾(北区),平谷,马坊,平谷 马坊 梨羊路5号,西北 满五年,https://bj.58.com/ershoufang/4122341963426820x.shtml?auction=220&hpType=60&entry=102&position=23&kwtype=filter&now_time=1764309107&typecode=220&region_ids=6814&spread=filtersearch_c&epauction=&stats_key=2bf2869f-e952-47fe-a975-df98525e6db8_23&from=from_esf_List_screen&index=23,2025-11-28 13:51:47
