city,current_price,historical_count,forecast_periods,trend,change_percent,confidence,linear_formula,linear_r_squared,linear_slope,linear_trend,polynomial_formula,polynomial_r_squared,polynomial_degree,exponential_alpha,exponential_formula,exponential_last_smoothed,exponential_trend,ma_window_size,ma_formula,ma_base_prediction,ma_trend
昆明,12145,108,36,下跌,-13.45,中等,y = 12.71x + 11911.68,0.11640710360403472,12.712071412920247,上升,-1.0773x^2 + 127.9874x^1 + 9875.1513x^0,0.7663261034580908,2,0.3,基于alpha=0.3的指数平滑,12237.445053086694,-31.666666666666668,3,最近3期移动平均，趋势调整:-31.6667,12210.0,-31.666666666666668
福州,19585,108,36,持平,1.73,中等,y = 18.99x + 18101.63,0.19734945022613712,18.992026065334823,上升,0.6029x^2 + -45.5141x^1 + 19241.2377x^0,0.3519227024678181,2,0.3,基于alpha=0.3的指数平滑,19800.820920351434,-79.0,3,最近3期移动平均，趋势调整:-79.0000,19700.666666666668,-79.0
济南,14350,108,36,下跌,-4.06,中等,y = -10.54x + 15039.21,0.09272037814039313,-10.540317433098021,下降,-0.0838x^2 + -1.5762x^1 + 14880.8462x^0,0.09727365562334711,2,0.3,基于alpha=0.3的指数平滑,14247.347431014643,0.0,3,最近3期移动平均，趋势调整:0.0000,14350.0,0.0
贵阳,8762,108,36,下跌,-14.4,中等,y = 11.48x + 8427.53,0.05609396760063075,11.481179799365515,上升,-1.0864x^2 + 127.7293x^1 + 6373.8173x^0,0.44653458954019365,2,0.3,基于alpha=0.3的指数平滑,8747.80769338649,0.0,3,最近3期移动平均，趋势调整:0.0000,8762.0,0.0
南昌,11398,108,36,下跌,-3.77,中等,y = -16.70x + 13118.09,0.264815190853812,-16.69602827555327,下降,-0.5259x^2 + 39.5801x^1 + 12123.8772x^0,0.4690854934509242,2,0.3,基于alpha=0.3的指数平滑,11321.246017493786,48.0,3,最近3期移动平均，趋势调整:48.0000,11337.333333333334,48.0
杭州,21427,108,36,下跌,-6.61,中等,y = -26.76x + 24495.07,0.24326265395512628,-26.758509817371174,下降,-0.0997x^2 + -16.0948x^1 + 24306.6793x^0,0.24588569762955426,2,0.3,基于alpha=0.3的指数平滑,21511.017742311684,-51.0,3,最近3期移动平均，趋势调整:-51.0000,21571.666666666668,-51.0
合肥,17023,108,36,上涨,5.09,中等,y = 36.50x + 13184.33,0.635581747406518,36.502919965322434,上升,0.3074x^2 + 3.6143x^1 + 13765.3671x^0,0.6706123569259483,2,0.3,基于alpha=0.3的指数平滑,17060.57996282661,-21.333333333333332,3,最近3期移动平均，趋势调整:-21.3333,17063.333333333332,-21.333333333333332
乌鲁木齐,8305,108,36,下跌,-8.81,中等,y = 3.37x + 8561.92,0.026866527057365176,3.3743748035096743,上升,-0.5602x^2 + 63.3142x^1 + 7502.9779x^0,0.602433693132028,2,0.3,基于alpha=0.3的指数平滑,8361.556602938377,-7.333333333333333,3,最近3期移动平均，趋势调整:-7.3333,8312.333333333334,-7.333333333333333
广州,36720,108,36,上涨,3.27,中等,y = 88.54x + 27949.19,0.7752164562962669,88.54350891232482,上升,-0.4519x^2 + 136.8945x^1 + 27094.9897x^0,0.7909114189288251,2,0.3,基于alpha=0.3的指数平滑,36553.516132072415,5.333333333333333,3,最近3期移动平均，趋势调整:5.3333,36709.333333333336,5.333333333333333
郑州,13748,108,36,上涨,3.04,中等,y = -5.71x + 13291.13,0.055824519452282576,-5.710046967142055,下降,-0.1323x^2 + 8.4449x^1 + 13041.0565x^0,0.07911610031322824,2,0.3,基于alpha=0.3的指数平滑,13572.97034283566,75.0,3,最近3期移动平均，趋势调整:75.0000,13673.0,75.0
