title,price,price_unit,price_per_sqm,room_type,area,orientation,floor,year,community,district,business_area,location,tags,url,crawl_time
清盘   170澫) 现房四居室星空墅，随时看拎包住,195,万,10834元/㎡,4室2厅3卫,180,南北,,2021,万科七橡墅(新房),房山,房山周边,房山 房山周边 云峰寺路万科七橡墅营销中心,南北通透 三房朝南 厨卫全明 轨交房,https://bj.58.com/ershoufang/3048195640549381x.shtml?auction=201&hpType=60&entry=102&position=0&kwtype=filter&now_time=1764303624&typecode=201&spread=filtersearch_p&epauction=&stats_key=23b5c04c-d0ed-4af9-81bb-6773674d1ee8_0&from=from_esf_List_search&index=0,2025-11-28 12:20:23
东三环 双井地铁口05年小区 商品房满五  精装大两居不临街,428,万,41325元/㎡,2室1厅1卫,103.57,西,中层(共28层),2005,百环家园,朝阳,双井,朝阳 双井 广渠路66号,西 满五年 近地铁 采光较好,https://bj.58.com/ershoufang/4300980829821964x.shtml?auction=201&hpType=60&entry=102&position=1&kwtype=filter&now_time=1764303624&typecode=201&spread=filtersearch_p&epauction=&stats_key=23b5c04c-d0ed-4af9-81bb-6773674d1ee8_1&from=from_esf_List_search&index=1,2025-11-28 12:20:23
13年次新板楼！业主变现急售！满五  ，三环，10号线随时看,620,万,69742元/㎡,3室1厅1卫,88.9,南北,高层(共28层),2012,首城国际,朝阳,双井,朝阳 双井 广渠路36号,南北 满五年 近地铁 户型方正,https://bj.58.com/ershoufang/4301051949014026x.shtml?auction=201&hpType=60&entry=102&position=2&kwtype=filter&now_time=1764303624&typecode=201&spread=filtersearch_p&epauction=&stats_key=23b5c04c-d0ed-4af9-81bb-6773674d1ee8_2&from=from_esf_List_search&index=2,2025-11-28 12:20:23
满五年  |次顶层|采光好|无遮挡|户型方正|无浪费面积,435,万,42013元/㎡,2室1厅1卫,103.54,西,高层(共28层),2005,百环家园,朝阳,双井,朝阳 双井 广渠路66号,西 满五年 近地铁 采光较好,https://bj.58.com/ershoufang/4058952416631823x.shtml?auction=201&hpType=60&entry=102&position=3&kwtype=filter&now_time=1764303624&typecode=201&spread=filtersearch_p&epauction=&stats_key=23b5c04c-d0ed-4af9-81bb-6773674d1ee8_3&from=from_esf_List_search&index=3,2025-11-28 12:20:23
小洋房 户数少   产品,620,万,67923元/㎡,2室1厅1卫,91.28,东南,高层(共7层),2012,首城国际,朝阳,双井,朝阳 双井 广渠路36号,东南 近地铁,https://bj.58.com/ershoufang/4330413846568967x.shtml?auction=201&hpType=60&entry=102&position=4&kwtype=filter&now_time=1764303624&typecode=201&spread=filtersearch_p&epauction=&stats_key=23b5c04c-d0ed-4af9-81bb-6773674d1ee8_4&from=from_esf_List_search&index=5,2025-11-28 12:20:23
双井百环家园3室1厅 满五年   业主诚意出售,598,万,42831元/㎡,3室1厅2卫,139.62,东南,低层(共28层),2005,百环家园,朝阳,双井,朝阳 双井 广渠路66号,东南 满五年 近地铁 采光较好,https://bj.58.com/ershoufang/4122631783063567x.shtml?auction=201&hpType=60&entry=102&position=5&kwtype=filter&now_time=1764303624&typecode=201&spread=filtersearch_p&epauction=&stats_key=23b5c04c-d0ed-4af9-81bb-6773674d1ee8_5&from=from_esf_List_search&index=6,2025-11-28 12:20:23
单价4萬起！高得房率，近地铁，清退认筹中！,480,万,50000元/㎡,3室2厅2卫,96,南北,,2027,长安华曦府,门头沟,永定,门头沟 永定 长安街 新首钢 S1号线上岸站北350米,卧室全朝南 南北通透 厨卫全明 轨交房,https://bj.58.com/ershoufang/3853430097158149x.shtml?auction=201&hpType=60&entry=102&position=6&kwtype=filter&now_time=1764303624&typecode=201&spread=filtersearch_p&epauction=&stats_key=23b5c04c-d0ed-4af9-81bb-6773674d1ee8_6&from=from_esf_List_search&index=7,2025-11-28 12:20:23
底价清晰 高层景观 270度圆弧窗 景观很好,635,万,66681元/㎡,2室2厅1卫,95.23,西南,高层(共26层),2009,天鹅湾(北区),朝阳,朝青板块,朝阳 朝青板块 甘露园中街,西南 配套成熟 价格优惠 房东急售,https://bj.58.com/ershoufang/3048221458045962x.shtml?auction=220&hpType=60&entry=102&position=7&kwtype=filter&now_time=1764303624&typecode=220&spread=filtersearch_c&epauction=&stats_key=23b5c04c-d0ed-4af9-81bb-6773674d1ee8_7&from=from_esf_List_search&index=8,2025-11-28 12:20:23
双井百环家园满五   西区靠近朝阳区图书馆,439,万,45830元/㎡,2室1厅1卫,95.79,西南,中层(共27层),2005,百环家园,朝阳,双井,朝阳 双井 广渠路66号,西南 满二年 近地铁 采光较好,https://bj.58.com/ershoufang/4329131129330695x.shtml?auction=201&hpType=60&entry=102&position=8&kwtype=filter&now_time=1764303624&typecode=201&spread=filtersearch_p&epauction=&stats_key=23b5c04c-d0ed-4af9-81bb-6773674d1ee8_8&from=from_esf_List_search&index=9,2025-11-28 12:20:23
（必卖好房！！）百环家园 精装修 采光好 视野开阔 近地铁,445,万,42958元/㎡,2室1厅1卫,103.59,西,低层(共28层),2005,百环家园,朝阳,双井,朝阳 双井 广渠路66号,西 满五年 近地铁 采光较好,https://bj.58.com/ershoufang/4064732736416775x.shtml?auction=201&hpType=60&entry=102&position=9&kwtype=filter&now_time=1764303624&typecode=201&spread=filtersearch_p&epauction=&stats_key=23b5c04c-d0ed-4af9-81bb-6773674d1ee8_9&from=from_esf_List_search&index=10,2025-11-28 12:20:23
