crawl_district,crawl_area,title,price,price_unit,price_per_sqm,room_type,area,orientation,floor,year,community,district,business_area,location,tags,url,crawl_time
昌平,,南北通透 2室2厅 电梯房 86平 楼层好 视野无遮挡,449,万,51788元/㎡,2室2厅1卫,86.7,南北,中层(共6层),2012,领秀慧谷C区(一区),昌平,回龙观,昌平 回龙观 农学院北路9号,南北 满二年 近地铁 多人关注,https://bj.58.com/ershoufang/4288149913574406x.shtml?auction=220&hpType=60&entry=102&position=0&kwtype=filter&now_time=1764304546&typecode=220&region_ids=1150&spread=filtersearch_c&epauction=&stats_key=99a93cef-7709-4f53-83a1-fcf5eb66d009_0&from=from_esf_List_screen&index=0,2025-11-28 12:35:44
昌平,,满五 精装修 88平 2室2厅 电梯房 诚心出售 价格可议,459,万,51900元/㎡,2室2厅1卫,88.44,南北,低层(共9层),2014,领秀慧谷C区(一区),昌平,回龙观,昌平 回龙观 农学院北路9号,热门小区 近地铁 南北通透,https://bj.58.com/ershoufang/3894992904481805x.shtml?auction=220&hpType=60&entry=102&position=1&kwtype=filter&now_time=1764304546&typecode=220&region_ids=1150&spread=filtersearch_c&epauction=&stats_key=99a93cef-7709-4f53-83a1-fcf5eb66d009_1&from=from_esf_List_screen&index=1,2025-11-28 12:35:44
昌平,,国风美唐 中间楼层 全南向两居 近地铁813号线,427,万,48795元/㎡,2室1厅1卫,87.51,南,高层(共16层),2014,首开国风美唐朗观,昌平,回龙观,昌平 回龙观 科星西路90号,南 房东发布 满五年 近地铁,https://bj.58.com/ershoufang/3986726521428994x.shtml?auction=220&hpType=60&entry=102&position=2&kwtype=filter&now_time=1764304546&typecode=220&region_ids=1150&spread=filtersearch_c&epauction=&stats_key=99a93cef-7709-4f53-83a1-fcf5eb66d009_2&from=from_esf_List_screen&index=2,2025-11-28 12:35:44
昌平,,朱辛庄地铁西500m 低密次新洋房 南北双落地窗阳台,439,万,50793元/㎡,2室2厅1卫,86.43,南北,高层(共11层),2014,领秀慧谷C区(一区),昌平,回龙观,昌平 回龙观 农学院北路9号,南北 满五年 近地铁,https://bj.58.com/ershoufang/4336459521122312x.shtml?auction=220&hpType=60&entry=102&position=3&kwtype=filter&now_time=1764304546&typecode=220&region_ids=1150&spread=filtersearch_c&epauction=&stats_key=99a93cef-7709-4f53-83a1-fcf5eb66d009_3&from=from_esf_List_screen&index=3,2025-11-28 12:35:44
昌平,,回龙观国风美唐 全南两居室 中高层采光充足无遮挡 视野开阔,428,万,49429元/㎡,2室2厅1卫,86.59,南,中层(共18层),2014,首开国风美唐朗观,昌平,回龙观,昌平 回龙观 科星西路90号,南 有电梯 近地铁 绿化率高,https://bj.58.com/ershoufang/4195178173438978x.shtml?auction=220&hpType=60&entry=102&position=4&kwtype=filter&now_time=1764304546&typecode=220&region_ids=1150&spread=filtersearch_c&epauction=&stats_key=99a93cef-7709-4f53-83a1-fcf5eb66d009_4&from=from_esf_List_screen&index=4,2025-11-28 12:35:44
昌平,,业主是我老乡优先我卖 精装自住 落地窗 客厅带阳台 好聊价,489,万,53513元/㎡,2室1厅1卫,91.38,南北,低层(共11层),2012,首开国风美唐一期,昌平,回龙观,昌平 回龙观 龙跃街10号,南北 满五年 近地铁 采光较好,https://bj.58.com/ershoufang/4323897448344587x.shtml?auction=220&hpType=60&entry=102&position=5&kwtype=filter&now_time=1764304546&typecode=220&region_ids=1150&spread=filtersearch_c&epauction=&stats_key=99a93cef-7709-4f53-83a1-fcf5eb66d009_5&from=from_esf_List_screen&index=5,2025-11-28 12:35:44
昌平,,国风美唐三期 经典小三居 全明户型 好楼层,448,万,50023元/㎡,3室1厅1卫,89.56,南北,中层(共20层),2017,首开国风美唐臻观,昌平,霍营,昌平 霍营 龙跃街7号,南北 满五年 近地铁 车位充足,https://bj.58.com/ershoufang/4271178964413446x.shtml?auction=220&hpType=60&entry=102&position=6&kwtype=filter&now_time=1764304546&typecode=220&region_ids=1150&spread=filtersearch_c&epauction=&stats_key=99a93cef-7709-4f53-83a1-fcf5eb66d009_6&from=from_esf_List_screen&index=6,2025-11-28 12:35:44
昌平,,双地铁 高层视野无遮挡 业主诚售,249,万,28520元/㎡,2室1厅1卫,87.31,西,高层(共29层),2004,天通苑北一区,昌平,天通苑,昌平 天通苑 太平庄中二街,西 近地铁 满五 房东急售,https://bj.58.com/ershoufang/4320793022324740x.shtml?auction=220&hpType=60&entry=102&position=7&kwtype=filter&now_time=1764304546&typecode=220&region_ids=1150&spread=filtersearch_c&epauction=&stats_key=99a93cef-7709-4f53-83a1-fcf5eb66d009_7&from=from_esf_List_screen&index=7,2025-11-28 12:35:44
昌平,,（我能聊价） 5.5万平 公园社区 万科物业 精装修 随时看,410,万,44020元/㎡,2室2厅2卫,93.14,南北,中层(共22层),2014,公园悦府(一区),昌平,回龙观,昌平 回龙观 龙锦一街,南北 房东发布 满五年 近地铁,https://bj.58.com/ershoufang/3851037910967296x.shtml?auction=220&hpType=60&entry=102&position=8&kwtype=filter&now_time=1764304546&typecode=220&region_ids=1150&spread=filtersearch_c&epauction=&stats_key=99a93cef-7709-4f53-83a1-fcf5eb66d009_8&from=from_esf_List_screen&index=8,2025-11-28 12:35:44
昌平,,首开国风美唐三期  16年小区，带电梯，近地铁，正规三居室,447,万,49817元/㎡,3室2厅1卫,89.73,南北,中层(共21层),2016,首开国风美唐臻观,昌平,霍营,昌平 霍营 龙跃街7号,南北 满五年 近地铁 车位充足,https://bj.58.com/ershoufang/4265644434087947x.shtml?auction=220&hpType=60&entry=102&position=9&kwtype=filter&now_time=1764304546&typecode=220&region_ids=1150&spread=filtersearch_c&epauction=&stats_key=99a93cef-7709-4f53-83a1-fcf5eb66d009_9&from=from_esf_List_screen&index=9,2025-11-28 12:35:44
昌平,,信任我 地铁旁公园社区 高楼层视野佳 精装拎包住 价格好沟通,460,万,53309元/㎡,2室1厅1卫,86.29,西南,高层(共27层),2019,公园悦府(二区),昌平,回龙观,昌平 回龙观 龙锦一街,西南 满二年 近地铁 采光较好,https://bj.58.com/ershoufang/4333444711328782x.shtml?auction=220&hpType=60&entry=102&position=10&kwtype=filter&now_time=1764304546&typecode=220&region_ids=1150&spread=filtersearch_c&epauction=&stats_key=99a93cef-7709-4f53-83a1-fcf5eb66d009_10&from=from_esf_List_screen&index=10,2025-11-28 12:35:45
昌平,,业主就想这周卖掉 电梯洋房 次顶层全明格局 出价就能聊,436,万,47289元/㎡,2室1厅1卫,92.2,南北,高层(共6层),2012,领秀慧谷C区(一区),昌平,回龙观,昌平 回龙观 农学院北路9号,南北 满五年 近地铁,https://bj.58.com/ershoufang/4338182955343877x.shtml?auction=220&hpType=60&entry=102&position=11&kwtype=filter&now_time=1764304546&typecode=220&region_ids=1150&spread=filtersearch_c&epauction=&stats_key=99a93cef-7709-4f53-83a1-fcf5eb66d009_11&from=from_esf_List_screen&index=11,2025-11-28 12:35:45
昌平,,阳光斯坦福！电梯高楼层！南向两居室！无遮挡采光好！,388,万,42675元/㎡,2室1厅1卫,90.92,西南,中层(共6层),2005,流星花园三区,昌平,回龙观,昌平 回龙观 文化路23号,西南 满五年 近地铁 户型方正,https://bj.58.com/ershoufang/4329205851155462x.shtml?auction=220&hpType=60&entry=102&position=12&kwtype=filter&now_time=1764304546&typecode=220&region_ids=1150&spread=filtersearch_c&epauction=&stats_key=99a93cef-7709-4f53-83a1-fcf5eb66d009_12&from=from_esf_List_screen&index=12,2025-11-28 12:35:45
