crawl_district,crawl_area,title,price,price_unit,price_per_sqm,room_type,area,orientation,floor,year,community,district,business_area,location,tags,url,crawl_time
海淀,,长安街 翠微 南北两居室 诚意出售 电梯房,425,万,76398元/㎡,2室1厅1卫,55.63,南,中层(共12层),1996,翠微路17号院,海淀,公主坟,海淀 公主坟 翠微路17号,经纪人力荐 南 房东发布 近地铁,https://bj.58.com/ershoufang/4210340871842829x.shtml?auction=220&hpType=60&entry=102&position=0&kwtype=filter&now_time=1764304187&typecode=220&region_ids=1143&spread=filtersearch_c&epauction=&stats_key=31c3d7dc-ee02-4d89-a065-446519566366_0&from=from_esf_List_screen&index=0,2025-11-28 12:29:46
海淀,,西直门 学院南路 明光村 南向两居室 随时看房 价格好谈,450,万,63740元/㎡,2室1厅1卫,70.6,南北,高层(共18层),1984,明光村小区,海淀,明光桥,海淀 明光桥 学院南路,南北 满五年 近地铁 采光较好,https://bj.58.com/ershoufang/4208970234522627x.shtml?auction=220&hpType=60&entry=102&position=1&kwtype=filter&now_time=1764304187&typecode=220&region_ids=1143&spread=filtersearch_c&epauction=&stats_key=31c3d7dc-ee02-4d89-a065-446519566366_1&from=from_esf_List_screen&index=1,2025-11-28 12:29:46
海淀,,调价 保利西山林语 景观楼层 南北通透两居室 满五,370,万,40930元/㎡,2室1厅1卫,90.4,南北,高层(共9层),2010,保利西山林语,海淀,西北旺,海淀 西北旺 黑龙潭路,南北 采光较好 多人关注,https://bj.58.com/ershoufang/4129790078917640x.shtml?auction=220&hpType=60&entry=102&position=2&kwtype=filter&now_time=1764304187&typecode=220&region_ids=1143&spread=filtersearch_c&epauction=&stats_key=31c3d7dc-ee02-4d89-a065-446519566366_2&from=from_esf_List_screen&index=2,2025-11-28 12:29:46
海淀,,低总价 逸成东苑 76平南北两居 高层 学院路新社区,520,万,68422元/㎡,2室1厅1卫,76,南北,中层(共22层),2006,逸成东苑,海淀,学院路,海淀 学院路 月泉路9号,南北 近地铁 户型方正 多人关注,https://bj.58.com/ershoufang/4277271110740992x.shtml?auction=220&hpType=60&entry=102&position=3&kwtype=filter&now_time=1764304187&typecode=220&region_ids=1143&spread=filtersearch_c&epauction=&stats_key=31c3d7dc-ee02-4d89-a065-446519566366_3&from=from_esf_List_screen&index=3,2025-11-28 12:29:46
海淀,,紫竹桥南北两居 采光好 电梯房 车道沟地铁10号线200,428,万,66709元/㎡,2室1厅1卫,64.16,南北,低层(共14层),1992,车道沟社区,海淀,车道沟,海淀 车道沟 紫竹院路,南北 满五年 近地铁 户型方正,https://bj.58.com/ershoufang/4285712213203968x.shtml?auction=220&hpType=60&entry=102&position=4&kwtype=filter&now_time=1764304187&typecode=220&region_ids=1143&spread=filtersearch_c&epauction=&stats_key=31c3d7dc-ee02-4d89-a065-446519566366_4&from=from_esf_List_screen&index=4,2025-11-28 12:29:46
海淀,,上地，裕和嘉园。价格好低好低，随时看，,440,万,70854元/㎡,2室1厅1卫,62.1,南,高层(共9层),2018,裕和嘉园,海淀,马连洼,海淀 马连洼 树村路,南 近地铁 采光较好,https://bj.58.com/ershoufang/3979695298079754x.shtml?auction=220&hpType=60&entry=102&position=5&kwtype=filter&now_time=1764304187&typecode=220&region_ids=1143&spread=filtersearch_c&epauction=&stats_key=31c3d7dc-ee02-4d89-a065-446519566366_5&from=from_esf_List_screen&index=5,2025-11-28 12:29:46
海淀,,二里庄志新北里3室1厅,630,万,80873元/㎡,3室1厅1卫,77.9,南北,中层(共6层),1992,志新北里小区,海淀,二里庄,海淀 二里庄 志新路16号,经纪人力荐 南北 近地铁 户型方正,https://bj.58.com/ershoufang/4250385690061836x.shtml?auction=220&hpType=60&entry=102&position=6&kwtype=filter&now_time=1764304187&typecode=220&region_ids=1143&spread=filtersearch_c&epauction=&stats_key=31c3d7dc-ee02-4d89-a065-446519566366_6&from=from_esf_List_screen&index=6,2025-11-28 12:29:46
海淀,,海淀嘉郡 2居室 精装 85平 电梯房 看房方便,335,万,39412元/㎡,2室1厅1卫,85,南,中层(共16层),2016,海淀嘉郡,海淀,上庄,海淀 上庄 上庄路,南 热门小区 配套成熟 优势户型,https://bj.58.com/ershoufang/4111092172086274x.shtml?auction=220&hpType=60&entry=102&position=7&kwtype=filter&now_time=1764304187&typecode=220&region_ids=1143&spread=filtersearch_c&epauction=&stats_key=31c3d7dc-ee02-4d89-a065-446519566366_7&from=from_esf_List_screen&index=7,2025-11-28 12:29:46
海淀,,五棵松永定路70号院南北三居，楼龄新，有电梯,620,万,68813元/㎡,3室1厅1卫,90.1,南北,中层(共11层),1997,永定路70号院,海淀,五棵松,海淀 五棵松 永定路70号,南北 满五年 近地铁 户型方正,https://bj.58.com/ershoufang/4221546646494218x.shtml?auction=220&hpType=60&entry=102&position=8&kwtype=filter&now_time=1764304187&typecode=220&region_ids=1143&spread=filtersearch_c&epauction=&stats_key=31c3d7dc-ee02-4d89-a065-446519566366_8&from=from_esf_List_screen&index=8,2025-11-28 12:29:46
海淀,,橡树湾三期 中高层 采光视野好 业主诚意出售 出门万象汇,686,万,76012元/㎡,2室2厅1卫,90.25,西,高层(共21层),2013,橡树湾(三期),海淀,清河,海淀 清河 清河中街68号,西 近地铁 车位充足 户型方正,https://bj.58.com/ershoufang/4306771017277451x.shtml?auction=220&hpType=60&entry=102&position=9&kwtype=filter&now_time=1764304187&typecode=220&region_ids=1143&spread=filtersearch_c&epauction=&stats_key=31c3d7dc-ee02-4d89-a065-446519566366_9&from=from_esf_List_screen&index=9,2025-11-28 12:29:46
