title,price,price_unit,price_per_sqm,room_type,area,orientation,floor,year,community,location,tags,url
清盘370萬 国企开发 低密精装电梯洋房 配套齐全 人大副,428,万,45053元/㎡,3室2厅2卫,95,南北,,2026,中交·伴山观岚,石景山 五里坨 黑石头路,南北通透 厨卫全明 主卧套房 低容积,https://bj.58.com/ershoufang/3122936520450054x.shtml?auction=201&hpType=60&entry=102&position=0&kwtype=filter&now_time=1763890687&typecode=201&spread=filtersearch_p&epauction=&stats_key=1662db22-97b6-4da1-b714-385a3a16f427_0&from=from_esf_List_search&index=0
东三环 双井地铁口05年小区 商品房满五  精装大两居不临街,428,万,41325元/㎡,2室1厅1卫,103.57,,中层(共28层),2005,百环家园,朝阳 双井 广渠路66号,西 满五年 近地铁 采光较好,https://bj.58.com/ershoufang/4300980829821964x.shtml?auction=201&hpType=60&entry=102&position=1&kwtype=filter&now_time=1763890687&typecode=201&spread=filtersearch_p&epauction=&stats_key=1662db22-97b6-4da1-b714-385a3a16f427_1&from=from_esf_List_search&index=1
双井首城国际D区3室1厅,620,万,69066元/㎡,3室1厅1卫,89.77,南北,高层(共28层),2010,首城国际,朝阳 双井 广渠路36号,南北 满二年 近地铁 采光较好,https://bj.58.com/ershoufang/4322320652004362x.shtml?auction=201&hpType=60&entry=102&position=2&kwtype=filter&now_time=1763890687&typecode=201&spread=filtersearch_p&epauction=&stats_key=1662db22-97b6-4da1-b714-385a3a16f427_2&from=from_esf_List_search&index=2
110拿下精装洋房项目周边自然环境优越，交通便利高保,155,万,31000元/㎡,1室1厅1卫,50,南北,,2022,金茂·北京国际社区,顺义 顺义城区 水色时光西路西侧50米,卧室全朝南 南北通透 厨卫全明,https://bj.58.com/ershoufang/3048260526334977x.shtml?auction=220&hpType=60&entry=102&position=3&kwtype=filter&now_time=1763890687&typecode=220&spread=filtersearch_c&epauction=&stats_key=1662db22-97b6-4da1-b714-385a3a16f427_3&from=from_esf_List_search&index=3
（必卖好房！！）百环家园 精装修 采光好 视野开阔 近地铁,445,万,42958元/㎡,2室1厅1卫,103.59,,低层(共28层),2005,百环家园,朝阳 双井 广渠路66号,西 满五年 近地铁 采光较好,https://bj.58.com/ershoufang/4064732736416775x.shtml?auction=201&hpType=60&entry=102&position=4&kwtype=filter&now_time=1763890687&typecode=201&spread=filtersearch_p&epauction=&stats_key=1662db22-97b6-4da1-b714-385a3a16f427_4&from=from_esf_List_search&index=4
满五年  |次顶层|采光好|无遮挡|户型方正|无浪费面积,435,万,42013元/㎡,2室1厅1卫,103.54,,高层(共28层),2005,百环家园,朝阳 双井 广渠路66号,西 满五年 近地铁 采光较好,https://bj.58.com/ershoufang/4058952416631823x.shtml?auction=201&hpType=60&entry=102&position=5&kwtype=filter&now_time=1763890687&typecode=201&spread=filtersearch_p&epauction=&stats_key=1662db22-97b6-4da1-b714-385a3a16f427_5&from=from_esf_List_search&index=5
（清盘，165萬）万科开发，精装西山墅，现房，随时看,195,万,10834元/㎡,4室2厅3卫,180,南北,,2021,万科七橡墅(新房),房山 房山周边 云峰寺路万科七橡墅营销中心,南北通透 三房朝南 厨卫全明 轨交房,https://bj.58.com/ershoufang/3048195640549381x.shtml?auction=201&hpType=60&entry=102&position=6&kwtype=filter&now_time=1763890687&typecode=201&spread=filtersearch_p&epauction=&stats_key=1662db22-97b6-4da1-b714-385a3a16f427_6&from=from_esf_List_search&index=6
单价不到4.。面积113平，东三环双井地铁边,468,万,41398元/㎡,2室1厅1卫,113.05,东北,中层(共26层),2016,百环家园,朝阳 双井 广渠路66号,东北 满五年 近地铁 采光较好,https://bj.58.com/ershoufang/4210145618763783x.shtml?auction=201&hpType=60&entry=102&position=7&kwtype=filter&now_time=1763890687&typecode=201&spread=filtersearch_p&epauction=&stats_key=1662db22-97b6-4da1-b714-385a3a16f427_7&from=from_esf_List_search&index=7
望京南湖中园电梯三居，南向采光好，满五  ，空置随时看,450,万,51850元/㎡,3室1厅2卫,86.79,西南,高层(共20层),2002,南湖中园(二区),朝阳 望京 湖光北街,西南 近地铁 优势户型 房东急售,https://bj.58.com/ershoufang/4305172483612679x.shtml?auction=220&hpType=60&entry=102&position=8&kwtype=filter&now_time=1763890687&typecode=220&spread=filtersearch_c&epauction=&stats_key=1662db22-97b6-4da1-b714-385a3a16f427_8&from=from_esf_List_search&index=8
双井百环家园3室1厅 满五年   业主诚意出售,598,万,42831元/㎡,3室1厅2卫,139.62,东南,低层(共28层),2005,百环家园,朝阳 双井 广渠路66号,东南 满五年 近地铁 采光较好,https://bj.58.com/ershoufang/4122631783063567x.shtml?auction=201&hpType=60&entry=102&position=9&kwtype=filter&now_time=1763890687&typecode=201&spread=filtersearch_p&epauction=&stats_key=1662db22-97b6-4da1-b714-385a3a16f427_9&from=from_esf_List_search&index=9
双井百环家园2室1厅,465,万,41622元/㎡,2室1厅1卫,111.72,东北,高层(共28层),2005,百环家园,朝阳 双井 广渠路66号,东北 满五年 近地铁 户型方正,https://bj.58.com/ershoufang/4278026912328712x.shtml?auction=201&hpType=60&entry=102&position=10&kwtype=filter&now_time=1763890687&typecode=201&spread=filtersearch_p&epauction=&stats_key=1662db22-97b6-4da1-b714-385a3a16f427_10&from=from_esf_List_search&index=10
首付低总价 首城国际A区 两居室 满五   商品房 看房方,579,万,65336元/㎡,2室1厅1卫,88.62,西南,低层(共14层),2010,首城国际,朝阳 双井 广渠路36号,西南 满五年 近地铁 户型方正,https://bj.58.com/ershoufang/3048362051575810x.shtml?auction=201&hpType=60&entry=102&position=11&kwtype=filter&now_time=1763890687&typecode=201&spread=filtersearch_p&epauction=&stats_key=1662db22-97b6-4da1-b714-385a3a16f427_11&from=from_esf_List_search&index=11
双井百环家园满五   西区靠近朝阳区图书馆,439,万,45830元/㎡,2室1厅1卫,95.79,西南,中层(共27层),2005,百环家园,朝阳 双井 广渠路66号,西南 满二年 近地铁 采光较好,https://bj.58.com/ershoufang/4329131129330695x.shtml?auction=201&hpType=60&entry=102&position=12&kwtype=filter&now_time=1763890687&typecode=201&spread=filtersearch_p&epauction=&stats_key=1662db22-97b6-4da1-b714-385a3a16f427_12&from=from_esf_List_search&index=12
双井百环家园2室1厅 满五年   诚意出售,449,万,46879元/㎡,2室1厅1卫,95.78,西南,高层(共28层),2005,百环家园,朝阳 双井 广渠路66号,西南 满五年 近地铁 采光较好,https://bj.58.com/ershoufang/4249972836506630x.shtml?auction=201&hpType=60&entry=102&position=13&kwtype=filter&now_time=1763890687&typecode=201&spread=filtersearch_p&epauction=&stats_key=1662db22-97b6-4da1-b714-385a3a16f427_13&from=from_esf_List_search&index=13
白家庄东里，楼龄新，近地铁，1995年电梯,323,万,51442元/㎡,2室1厅1卫,62.79,东南,中层(共12层),1995,白家庄东里,朝阳 团结湖 姚家园路,东南 热门小区 价格优惠 随时可看,https://bj.58.com/ershoufang/3376465648213002x.shtml?auction=220&hpType=60&entry=102&position=14&kwtype=filter&now_time=1763890687&typecode=220&spread=filtersearch_c&epauction=&stats_key=1662db22-97b6-4da1-b714-385a3a16f427_14&from=from_esf_List_search&index=14
双井首城国际 有钥匙 随时看 小区中心 东南朝向 特殊户型,650,万,78116元/㎡,2室1厅1卫,83.21,东南,低层(共20层),2012,首城国际,朝阳 双井 广渠路36号,东南 满五年 近地铁 采光较好,https://bj.58.com/ershoufang/4296767499836416x.shtml?auction=201&hpType=60&entry=102&position=15&kwtype=filter&now_time=1763890687&typecode=201&spread=filtersearch_p&epauction=&stats_key=1662db22-97b6-4da1-b714-385a3a16f427_15&from=from_esf_List_search&index=15
单价5 买三环边全南两居 高层采光视野无遮挡 得房率82%,599,万,62396元/㎡,2室1厅1卫,96,南,低层(共26层),2005,苹果社区(南区),朝阳 双井 百子湾路32号,南 近地铁 户型方正 多人关注,https://bj.58.com/ershoufang/4227186041921551x.shtml?auction=201&hpType=60&entry=102&position=16&kwtype=filter&now_time=1763890687&typecode=201&spread=filtersearch_p&epauction=&stats_key=1662db22-97b6-4da1-b714-385a3a16f427_16&from=from_esf_List_search&index=16
11月聚焦房源    涵养人生进阶   席位，恭迎莅临品鉴。,968,万,82034元/㎡,3室2厅2卫,118,南北,,2026,北京建工·熙华台,海淀 永定路 西四环西侧约400米，莲池路南侧150米,客餐厅相连 主卧套房 厨卫全明 购物中心,https://bj.58.com/ershoufang/3256245370772484x.shtml?auction=201&hpType=60&entry=102&position=17&kwtype=filter&now_time=1763890687&typecode=201&spread=filtersearch_p&epauction=&stats_key=1662db22-97b6-4da1-b714-385a3a16f427_17&from=from_esf_List_search&index=17
单价5万！业主急售！装修保养好 双卫 东三环双井,510,万,53125元/㎡,2室2厅2卫,96,北,低层(共31层),2005,苹果社区(南区),朝阳 双井 百子湾路32号,北 近地铁 多人关注,https://bj.58.com/ershoufang/4211567382011907x.shtml?auction=201&hpType=60&entry=102&position=18&kwtype=filter&now_time=1763890687&typecode=201&spread=filtersearch_p&epauction=&stats_key=1662db22-97b6-4da1-b714-385a3a16f427_18&from=from_esf_List_search&index=18
近商场，地铁，小区环境好绿化高楼栋间距广,570,万,60529元/㎡,2室1厅1卫,94.17,东北,低层(共26层),2005,苹果社区(南区),朝阳 双井 百子湾路32号,东北 近地铁 户型方正 多人关注,https://bj.58.com/ershoufang/4273857425170444x.shtml?auction=201&hpType=60&entry=102&position=19&kwtype=filter&now_time=1763890687&typecode=201&spread=filtersearch_p&epauction=&stats_key=1662db22-97b6-4da1-b714-385a3a16f427_19&from=from_esf_List_search&index=19
